Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Kode_Bahasa,Format_Buku,Ebook,Penerbit
7332,618391118,The Silmarillion (Middle-Earth Universe),"[J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith]",2004,158141,3.91,386,4524,eng,Hardcover,FALSE,Houghton Mifflin Harcourt
7333,1586170252,The Philosophy of Tolkien: The Worldview Behind The Lord of the Rings,[Peter Kreeft],2005,947,4.19,237,55,,Paperback,FALSE,Ignatius Press
7336,618057021,J.R.R. Tolkien: A Biography,[Humphrey Carpenter],2000,8736,4.07,304,292,eng,Paperback,FALSE,Mariner Books
7337,345345061,The Tolkien Reader,"[J.R.R. Tolkien, Peter S. Beagle]",1986,4124,3.99,272,141,eng,Paperback,FALSE,Del Rey
7338,1887726098,Tolkien on Film: Essays on Peter Jackson's The Lord of the Rings,"[Janet Brennan Croft, Mark P. Shea, Amy H. Sturgis]",2005,39,3.77,323,2,eng,Hardcover,FALSE,Mythopoeic Press
7339,026110263X,The Monsters and the Critics and Other Essays,"[J.R.R. Tolkien, Christopher Tolkien]",2006,3389,3.93,240,71,eng,Paperback,FALSE,HarperCollins
7340,061839110X,The Maps of Tolkien's Middle-earth,"[Brian Sibley, John  Howe, J.R.R. Tolkien]",2003,7615,4.13,80,28,eng,Hardcover,FALSE,Houghton Mifflin Harcourt
7341,664226108,The Gospel According to Tolkien: Visions of the Kingdom in Middle-Earth,[Ralph C. Wood],2003,553,4.08,169,64,eng,Paperback,FALSE,Westminster John Knox Press
7342,261102206,"The Treason of Isengard: The History of The Lord of the Rings, Part Two (The History of Middle-earth, #7)","[J.R.R. Tolkien, Christopher Tolkien]",2002,95,4.17,465,4,eng,Paperback,FALSE,HarperCollins
7343,618574816,Tolkien and the Great War: The Threshold of Middle-earth,[John Garth],2005,6187,3.7,398,102,en-US,Paperback,FALSE,Mariner Books
7344,1587680262,Tolkien and C.S. Lewis: The Gift of a Friendship,[Colin Duriez],2003,1334,4,244,52,eng,Paperback,FALSE,Paulist Press
