,Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Format_Buku,Ebook,Penerbit,Jumlah_Penulis
640,881,394888669,Pompeii . . . Buried Alive!,"['Edith Kunhardt', 'Michael Eagle']",1987,2376,3.98,48,54,Paperback,False,Random House Books for Young Readers,2
641,882,8854400300,"Pompeii: The History, Life and Art of the Buried City","['Marisa Ranieri Panetta', 'Araldo De Luca', 'Supts. Of Pompeii & Campania']",2010,32,4.57,416,9,Hardcover,False,White Star Publishers,3
642,883,375828893,Pompeii: Lost and Found,"['Mary Pope Osborne', 'Bonnie Christensen']",2006,107,3.72,40,12,Hardcover,False,Knopf Books for Young Readers,2
643,884,8881620758,Pompeii: Monuments Past and Present,['Alfonso De Franciscis'],2000,11,4.18,56,0,Hardcover,False,"Oxford University Press, USA",1
644,885,059526882X,A.D. 62: Pompeii,['Rebecca East'],2003,124,3.34,292,30,Paperback,False,iUniverse,1
645,887,674689674,Pompeii: Public and Private Life,['Paul Zanker'],1999,67,3.39,253,4,Paperback,False,Harvard University Press,1
646,888,158715739X,The Last Days of Pompeii,"['Edward Bulwer-Lytton', 'John Gregory Betancourt']",2002,1131,3.59,360,67,Paperback,False,Borgo Press,2
647,890,142000671,Of Mice and Men,['John Steinbeck'],2002,1676272,3.86,112,24249,Paperback,False,Penguin Books,1
648,891,764586769,Cliffsnotes on Steinbeck's of Mice and Men,['Susan Van Kirk'],2000,32,3.91,80,3,Paperback,False,Cliffs Notes,1
651,899,582461464,Of Mice and Men,"['John Steinbeck', 'Jim Taylor']",2001,2117,3.86,160,161,Hardcover,False,Longman Publishing Group,2
652,900,60554738,The Game: Penetrating the Secret Society of Pickup Artists,['Neil Strauss'],2005,19570,3.74,464,1525,Hardcover,False,It Books,1
654,902,014240120X,The Westing Game,['Ellen Raskin'],2004,136555,4.02,182,8386,Paperback,False,Puffin,1
655,903,808553038,The Egypt Game,['Zilpha Keatley Snyder'],2009,29533,3.82,215,1094,Hardcover,False,Turtleback Books,1
656,905,679778314,The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,"['W. Timothy Gallwey', 'Zach Kleinman', 'Pete Carroll']",1997,5648,4.24,134,521,Paperback,False,Random House Trade Paperbacks,3
657,909,1416537902,"Jim Cramer's Mad Money: Watch TV, Get Rich","['James J. Cramer', 'Cliff Mason']",2006,738,3.49,240,58,Hardcover,False,Simon  Schuster,2
658,910,60086513,Trading with the Enemy: Seduction and Betrayal on Jim Cramer's Wall Street,"['Nicholas W. Maier', 'Josh Fund']",2002,86,3.74,208,6,Hardcover,False,HarperCollins Publishers,2
659,911,1564148815,The Forewarned Investor: Don't Get Fooled Again by Corporate Fraud,"['Brett S. Messing', 'Steven A. Sugarman', 'James J. Cramer']",2006,6,3.33,221,0,Hardcover,False,Career Press,3
661,916,157071987X,And a Hard Rain Fell,['John Ketwig'],2004,588,4.12,368,53,Paperback,False,Sourcebooks,1
662,918,679745270,Hard Rain,['Tim Riley'],1993,6,3.48,368,0,Paperback,False,Vintage,1
663,919,1569471045,Hard Rain,['Janwillem van de Wetering'],2003,208,3.97,320,9,Paperback,False,Soho Crime,1
664,920,451401131,Hard Rain,['Peter Abrahams'],1989,5,3.69,352,0,Paperback,False,Onyx,1
667,929,1400096898,Memoirs of a Geisha,['Arthur Golden'],2005,226998,4.1,503,3197,Mass Market Paperback,False,Vintage Books USA,1
668,930,739326228,Memoirs of a Geisha,['Arthur Golden'],2005,1301408,4.1,434,19249,Hardcover,False,Random House Large Print Publishing,1
669,931,99498189,Memoirs of a Geisha,['Arthur Golden'],2005,2093,4.1,497,254,Paperback,False,Vintage,1
670,932,1557046832,Memoirs of a Geisha: A Portrait of the Film,"['David        James', 'Peggy Mulloy', 'Rob Marshall', 'Arthur Golden']",2005,143,4.08,144,8,Hardcover,False,Newmarket Press,4
671,933,99771519,Memoirs of a Geisha,['Arthur Golden'],1998,3964,4.1,493,435,Paperback,False,Vintage,1
672,935,074343059X,Geisha of Gion,"['Mineko Iwasaki', 'Rande Brown']",2003,1474,3.93,334,153,Paperback,False,Downtown Press,2
674,937,739326872,Memoirs of a Geisha,['Arthur Golden'],2006,1772,4.1,768,258,Paperback,False,Random House Large Print,1
675,938,809229897,How to Make Anyone Fall in Love with You,['Leil Lowndes'],1997,943,3.59,336,67,Paperback,False,McGraw-Hill Education,1
676,939,971320500,How To Get Laid: The Rules On How To Succeed With Women And How To Make Anyone Fall In Love With You,['Michael James'],2000,2,3.0,222,0,Paperback,False,The David Olson Company,1
677,941,1932664394,Love As A Foreign Language #5,"['J. Torres', 'Eric  Kim']",2006,9,3.44,58,2,Paperback,False,Oni Press,2
678,943,802415075,Marriage Special Package- 2 books- Five Love Languages/Fight Fair,"['Gary Chapman', 'Tim Downs', 'Joy Downs']",2003,40,4.3,400,10,Paperback,False,Moody Publishers,3
679,944,521750849,Jungle Love,"['Margaret Johnson', 'Philip Prowse']",2002,58,3.39,95,6,Paperback,False,Cambridge University Press,2
681,948,943657822,Building Literacy with Love: A Guide for Teachers and Caregivers of Children Birth Through Age 5,"['betty S. Bardige', 'Marilyn M. Segal']",2004,15,3.6,366,1,Paperback,False,Zero to Three,2
682,951,1881273105,The Five Love Languages: Men's Edition: How to Express Heartfelt Commitment to Your Mate,['Gary Chapman'],2004,931,4.26,202,88,Paperback,False,Northfield Press,1
683,952,1881273652,The Five Love Languages of Children,"['Gary Chapman', 'D. Ross Campbell']",1997,12001,4.2,224,1157,Paperback,False,Moody Publishers,2
684,953,789912910,"Cinco Lenguajes del Amor Para Solteros, Los: Five Love Languages for Singles",['Gary Chapman'],2006,14,4.17,235,2,Paperback,False,Editorial Unilit,1
685,954,1881273393,The Five Love Languages of Teenagers,['Gary Chapman'],2001,119,4.12,272,14,Paperback,False,Northfield Publishing,1
686,955,802415318,The 5 Love Languages / The 5 Love Languages Journal,['Gary Chapman'],2005,20,4.71,0,4,Paperback,False,Moody Publishers,1
687,956,1598590669,The Five Love Languages: Men's Edition: How to Express Heartfelt Commitment to Your Mate,['Gary Chapman'],2005,53,4.26,4,13,Audio CD,False,Oasis Audio,1
688,957,1881273717,Five Love Languages Journal: How To Express Heartfelt Commitment To Your Mate,['Gary Chapman'],2005,10,4.1,144,2,Hardcover,False,Northfield Publishing,1
689,959,789912864,Los Cinco Lenguajes Del Amor/the Five Languages of Love,['Gary Chapman'],2004,10,4.24,196,4,Paperback,False,Editorial Unilit,1
690,960,1416524797,"Angels & Demons (Robert Langdon, #1)",['Dan Brown'],2006,2311319,3.89,736,20884,Mass Market Paperback,False,Pocket Books,1
691,961,898705509,Angels and Demons: What Do We Really Know About Them?,['Peter Kreeft'],1995,339,4.04,157,22,Paperback,False,Ignatius Press,1
692,962,157863010X,"Angels, Demons & Gods of the New Millenium: Musings on Modern Magick",['Lon Milo DuQuette'],1997,162,4.1,192,2,Paperback,False,Weiser Books,1
693,963,892368306,Angels and Demons in Art,"['Rosa Giorgi', 'Stefano Zuffi', 'Rosanna M. Giammanco-Frongia']",2005,77,4.13,384,6,Paperback,False,J. Paul Getty Museum,3
694,964,1593153589,Secrets of Angels and Demons,"['Dan Burstein', 'David A. Shugarts', 'Arne de Keijzer', 'Arne Dekeijzer']",2006,5,3.46,384,0,Paperback,False,Da Capo Press,4
695,965,849561877X,"Ángeles y demonios (Robert Langdon, #1)",['Dan Brown'],2005,197,3.89,508,20,Paperback,False,Umbriel,1
696,966,972859896,Angeles & Demonios,"['Dan Brown', 'Raúl Amundaray']",2005,65,3.89,18,7,Audio CD,False,FonoLibro,2
697,967,1591840074,"Angel Customers & Demon Customers: Discover Which is Which, and Turbo-Charge Your Stock","['Larry Selden', 'Geoff Colvin']",2003,21,3.43,256,3,Hardcover,False,Portfolio,2
698,968,307277674,"The Da Vinci Code (Robert Langdon, #2)",['Dan Brown'],2006,1607151,3.83,489,35203,Paperback,False,Anchor,1
699,969,076792603X,The Da Vinci Code,['Dan Brown'],2006,1112,3.83,467,104,Paperback,False,Broadway Books,1
700,970,140001672X,Fodor's Guide to The Da Vinci Code: On the Trail of the Bestselling Novel,"['Jennifer Paull', 'Christopher Culwell']",2006,37,3.51,256,8,Paperback,False,Fodor's,2
701,972,2266144340,"Da Vinci Code (Robert Langdon, #2)","['Dan Brown', 'Daniel Roche']",2005,359,3.83,744,15,Mass Market Paperback,False,Pocket,2
702,973,3791333224,"Who Can Crack the Leonardo Da Vinci Code? (Museum of Adventures, #1)","['Thomas Brezina', 'Laurence Sartin']",2005,28,3.57,112,0,Paperback,False,Prestel Publishing,2
703,974,1414302797,The Da Vinci Code: Fact or Fiction?,"['Hank Hanegraaff', 'Paul L. Maier']",2004,146,3.66,96,12,Paperback,False,Tyndale House Publishers,2
704,975,1416524800,Deception Point,['Dan Brown'],2006,4883,3.7,736,405,Mass Market Paperback,False,Pocket Books,1
705,976,671027387,Deception Point,['Dan Brown'],2002,517027,3.7,556,6909,Mass Market Paperback,False,Pocket Books,1
706,977,552151769,Deception Point,['Dan Brown'],2004,3249,3.7,585,176,Mass Market Paperback,False,Corgi Books,1
707,978,446611360,"Point Deception (Cape Perdido, #1)",['Marcia Muller'],2002,636,3.7,368,35,Paperback,False,Grand Central Publishing,1
708,980,593055071,Deception Point,['Dan Brown'],2005,61,3.7,448,4,Hardcover,False,Bantam Press,1
709,981,9953299072,حقيقة الخديعة,"['Dan Brown', 'دان براون', 'فايزة المنجد', 'محمد فداء الهاشمي']",2005,44,3.7,471,4,Paperback,False,الدار العربية للعلوم ناشرون,4
710,982,786282290,Deception Point,['Dan Brown'],2006,38,3.7,674,8,Hardcover,False,Thorndike Press,1
711,983,1416524886,Deception Point,['Dan Brown'],2006,88,3.7,736,12,Mass Market Paperback,False,Pocket Books,1
712,985,871568233,A Killing Rain: The Global Threat of Acid Precipitation,['Thomas F. Pawlick'],1984,2,4.0,206,0,Hardcover,False,"Random House, Inc.",1
713,987,078601606X,"A Killing Rain (Louis Kincaid, #6)",['P.J. Parrish'],2005,443,4.04,383,39,Mass Market Paperback,False,Pinnacle,1
715,990,937822809,A Storm Without Rain: A Novel in Time,['Jan Adkins'],2004,27,4.03,179,10,Hardcover,False,Wooden Boat Publications,1
717,993,792706056,Storm in a Rain Barrel,['Anne Mather'],1991,2,3.26,262,0,Hardcover,False,John Curley & Associates,1
718,994,71422765,What Every Investor Needs to Know about Accounting Fraud,['Jeff Madura'],2003,15,3.27,176,2,Paperback,False,McGraw-Hill Companies,1
719,995,470036273,What Every Fidelity Investor Needs to Know,"['James Lowell', 'Jim Lowell']",2006,5,3.67,338,1,Hardcover,False,Wiley,2
720,997,793114772,The Real Estate Investor's Tax Guide,['Vernon Hoven'],1995,1,5.0,289,0,Paperback,False,Kaplan Publishing,1
721,998,671015206,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,"['Thomas J. Stanley', 'William D. Danko']",1998,57359,4.03,258,2436,Paperback,False,Gallery Books,2
722,1000,740745328,Millionaire Women Next Door: The Many Journeys of Successful American Businesswomen,['Thomas J. Stanley'],2004,537,3.87,320,62,Hardcover,False,Andrews McMeel Publishing,1
723,1003,1417663421,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,"['Thomas J. Stanley', 'William D. Danko']",1998,12,4.03,258,3,Hardcover,False,Turtleback Books,2
724,1004,158063205X,Think and Grow Rich,['Napoleon Hill'],2001,30,4.17,345,5,Hardcover,False,High Roads Media,1
725,1005,1585424331,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,['Napoleon Hill'],2005,88576,4.17,320,2305,Paperback,False,Tarcherperigee,1
726,1006,1593302002,Think and Grow Rich!,"['Napoleon Hill', 'Ross Cornwell']",2004,292,4.17,379,24,Paperback,False,Aventine Press,2
727,1007,1932429239,Think and Grow Rich,['Napoleon Hill'],2004,45,4.17,368,9,Hardcover,False,High Roads Media,1
728,1008,9788352790,Think and Grow Rich,['Napoleon Hill'],2005,5,4.17,300,1,Spiral-bound,False,Bn Publishing,1
729,1009,452266602,The Think and Grow Rich Action Pack,['Napoleon Hill'],1988,54,4.17,352,2,Paperback,False,TarcherPerigee,1
730,1011,1599869918,Think and Grow Rich,['Napoleon Hill'],2005,16,4.17,260,1,Paperback,False,"Filiquarian Publishing, LLC.",1
731,1013,1932429158,Think and Grow Rich: Instant Motivator,"['Napoleon Hill', 'Earl Nightingale']",2003,13,4.17,0,1,Audio CD,False,High Roads Media,2
732,1014,977616657,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),['Mike   Mason'],2006,172,3.58,256,14,Paperback,False,Pragmatic Bookshelf,1
733,1015,596004486,Version Control with Subversion,"['Ben Collins-Sussman', 'Ben Collins-Sussman', 'Brian W. Fitzpatrick']",2004,93,3.61,320,11,Paperback,False,O'Reilly Media,3
734,1016,1590592905,Practical Subversion,"['Garrett Rooney', 'Martin Streicher']",2004,6,3.71,336,0,Paperback,False,Apress,2
735,1017,745321674,Control and Subversion: Gender Relations  in Tajikistan,['Colette Harris'],2004,8,4.25,216,0,Paperback,False,Pluto Press,1
737,1021,252029690,Recovering Subversion: FEMINIST POLITICS BEYOND THE LAW,['Nivedita Menon'],2004,0,4.24,288,0,Hardcover,False,University of Illinois Press,1
738,1022,1563410907,Read My Lips: Sexual Subversion and the End of Gender,['Riki Anne Wilchins'],2005,249,3.95,288,16,Paperback,False,Firebrand Books,1
739,1024,471711802,Real Estate Riches: How to Become Rich Using Your Banker's Money,['Dolf de Roos'],2004,30,4.05,197,2,Paperback,False,Wiley,1
740,1025,471757055,The Insider's Guide to 52 Homes in 52 Weeks: Acquire Your Real Estate Fortune Today,"['Dolf de Roos', 'Gene Burns']",2006,44,4.0,197,6,Paperback,False,Wiley,2
741,1027,470043989,The Insider's Guide to Tax-Free Real Estate Investments: Retire Rich Using Your IRA,"['Diane Kennedy', 'Dolf de Roos']",2006,7,3.0,246,2,Paperback,False,Wiley,2
743,1031,345481402,"Trump: Think Like a Billionaire: Everything You Need to Know About Success, Real Estate, and Life","['Donald J. Trump', 'Meredith McIver']",2005,1476,3.65,288,94,Paperback,False,Ballantine Books,2
744,1032,345479173,Trump: The Art of the Deal,"['Donald J. Trump', 'Tony Schwartz']",2004,12018,3.66,384,881,Paperback,False,Ballantine Books,2
745,1033,471774340,Trump Strategies for Real Estate: Billionaire Lessons for the Small Investor,"['George H. Ross', 'Andrew James McLean', 'Donald J. Trump']",2006,534,4.09,231,18,Paperback,False,Wiley,3
746,1034,471917273,Trump University Real Estate 101: Building Wealth with Real Estate Investments,"['Gary W. Eldred', 'Donald J. Trump']",2006,162,3.58,290,8,Hardcover,False,John Wiley & Sons,2
747,1035,345481038,Trump: How to Get Rich,"['Donald J. Trump', 'Meredith McIver']",2004,2023,3.36,320,149,Paperback,False,Ballantine Books,2
748,1036,1400050162,Trump: The Way to the Top: The Best Business Advice I Ever Received,['Donald J. Trump'],2004,300,3.38,256,27,Hardcover,False,Crown Business,1
749,1037,609000683,Trump,['Donald J. Trump'],1997,1,3.57,0,0,Hardcover,False,Random House Value Publishing,1
750,1038,394575970,Trump: Surviving at the Top,"['Donald J. Trump', 'Charles Leerhsen']",1990,139,3.48,229,13,Hardcover,False,Random House (NY),2
751,1041,140160255X,Trump: The Best Real Estate Advice I Ever Received: 100 Top Experts Share Their Strategies,['Donald J. Trump'],2006,158,3.55,273,12,Hardcover,False,Rutledge Hill Press,1
752,1043,743428226,I Ain't Scared of You: Bernie Mac on How Life Is,"['Bernie Mac', 'Darrell Dawsey']",2003,84,4.15,176,6,Paperback,False,MTV Books,2
753,1044,60529326,Maybe You Never Cry Again,"['Bernie Mac', 'Pablo F. Fenjves']",2004,298,4.24,304,48,Paperback,False,It Books,2
754,1045,1584154888,Bernie Mac,['Joanne Mattern'],2006,2,5.0,32,0,Hardcover,False,Mitchell Lane Publishers,1
755,1047,047164711X,The Beginner's Guide to Real Estate Investing,['Gary W. Eldred'],2004,47,3.63,296,3,Paperback,False,John Wiley & Sons,1
756,1048,097595430X,The Art of Deals and Dreams: The Complete Beginner's Guide to Intelligent Real Estate Investing.,['Carlos Redmond'],2005,1,5.0,154,0,Paperback,False,Deutsch & DeLuca Publishing LLC,1
757,1051,978834607,Investing Without Losing: The Beginner's Guide to Real Estate Tax Lien and Tax Deed Auctions,"['Don Sausa', 'Jody Ortiz']",2006,2,4.0,108,0,Paperback,False,Vision Press,2
758,1052,451205367,The Richest Man in Babylon,['George S. Clason'],2008,69341,4.25,194,2984,Paperback,False,Berkley Books,1
759,1053,1419349996,The Richest Man in Babylon,['George S. Clason'],2005,80,4.25,4,12,Audio CD,False,Recorded Books,1
760,1054,967936632,Richest Man In Babylon For Today,"['Fred Siegel', 'Rick Crandall']",2004,64,3.84,150,9,Hardcover,False,Grammaton Press LLC,2
761,1059,1400098033,Shibumi,"['Trevanian', 'Gisela Stege']",2005,9141,4.21,480,614,Paperback,False,Broadway Books,2
762,1060,761451455,Shibumi and the Kitemaker,['Mercer Mayer'],2003,7,4.05,48,1,Paperback,False,Cavendish Square Publishing,1
763,1067,743226720,1776,['David McCullough'],2006,160171,4.07,386,6093,Paperback,False,Simon  Schuster,1
764,1068,140481397,1776,"['Peter  Stone', 'Sherman Edwards']",1976,1282,4.22,192,29,Paperback,False,Penguin Books,2
765,1070,807841994,"The Highland Scots of North Carolina, 1732-1776",['Duane Meyer'],1987,37,3.8,230,2,Paperback,False,University of North Carolina Press,1
766,1071,1933308109,"The 1776 Quilt: Heartache, Heritage, and Happiness",['Pam Holland'],2007,7,4.43,176,0,Paperback,False,Breckling Press,1
767,1072,792264088,Delaware 1638-1776 (Voices from Colonial America),"['National Geographic Kids', 'Karen Hossell', 'Karin Wulf']",2006,1,5.0,112,0,Hardcover,False,National Geographic Children's Books,3
768,1073,226014908,"The Crescent Obscured: The United States and the Muslim World, 1776-1815",['Robert J. Allison'],2000,32,3.58,284,5,Paperback,False,University of Chicago Press,1
769,1074,27123227,If You Were There in 1776,['Barbara Brenner'],1994,22,3.77,144,5,Hardcover,False,Simon  Schuster Books for Young Readers,1
770,1075,074322535X,Gap Creek,['Robert Morgan'],2001,135,3.73,352,19,Paperback,False,Touchstone Books,1
772,1078,1416500189,"The Good Earth (House of Earth, #1)",['Pearl S. Buck'],2009,196894,3.98,418,7485,Paperback,False,Howard Publishing Co,1
773,1079,043508495X,For the Good of the Earth and Sun: Teaching Poetry,"['Georgia Heard', 'Lucy Calkins']",1989,72,4.27,166,8,Paperback,False,Heinemann Educational Books,2
774,1080,822005352,The Good Earth (Cliffs Notes),['Stephen Veo Huntley'],1974,8,4.0,64,0,Paperback,False,Cliffs Notes,1
775,1081,865714606,The Eco-Foods Guide: What's Good for the Earth is Good for You!,"['Cynthia Barstow', 'Frances Moore Lappé']",2002,10,2.9,288,2,Paperback,False,New Society Publishers,2
777,1084,810933187,From the Good Earth: A Celebration of Growing Food Around the World,['Michael Ableman'],1993,5,4.2,168,0,Hardcover,False,ABRAMS,1
778,1089,310807980,Daily Inspiration for the Purpose Driven Life: Scriptures and Reflections from the 40 Days of Purpose,['Rick Warren'],2004,12,4.39,285,0,Hardcover,False,Zondervan,1
779,1090,310258979,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,['Rick Warren'],2005,26,3.92,5,2,Audio CD,False,Zondervan,1
780,1091,310803063,Purpose Driven Life Journal: What on Earth Am I Here For?,['Rick Warren'],2002,768,4.24,160,46,Hardcover,False,Zondervan,1
781,1093,310264138,Purpose Driven Life,['Rick Warren'],2002,20,3.92,336,3,Paperback,False,Zondervan,1
782,1095,899421326,A Catholic Perspective on the Purpose Driven Life,['Joseph M. Champlin'],2006,16,3.75,108,2,Paperback,False,Catholic Book Publishing Corp,1
783,1096,310807255,Daily Inspiration for the Purpose Driven Life,['Rick Warren'],2004,13,4.39,288,0,Hardcover,False,Zondervan,1
784,1097,60838582,Fast Food Nation: The Dark Side of the All-American Meal,['Eric Schlosser'],2005,187995,3.74,399,4884,Paperback,False,Harper Perennial,1
786,1099,141006870,Fast Food Nation: What The All-American Meal is Doing to the World,['Eric Schlosser'],2002,795,3.74,384,74,Paperback,False,Penguin Books,1
787,1100,006116139X,Fast Food Nation: The Dark Side of the All-American Meal,['Eric Schlosser'],2006,109,3.74,383,17,Paperback,False,Harper Perennial,1
788,1103,812968069,Snow Flower and the Secret Fan,['Lisa See'],2006,297077,4.07,269,14900,Paperback,False,Random House,1
789,1104,074142892X,Do You Want to Know a Secret?: The Story of the Official George Harrison Fan Club,['Pat Kinzer Mancuso'],2005,4,5.0,182,0,Paperback,False,Infinity Publishing (PA),1
790,1106,044097979X,Secrets of the Super [Football] Athletes: Tips for Fans and Players,['Abbot Solomon'],1982,1,5.0,0,0,Mass Market Paperback,False,Laurel Leaf,1
791,1108,863698743,All Men Have Secrets,"['Tom Gallagher', 'Mike Campbell', 'Murdo Gillies']",1995,34,3.88,256,3,Paperback,False,Doctor Who Books,3
792,1110,385340540,The Broker,['John Grisham'],2006,70887,3.78,422,2265,Paperback,False,Delta,1
793,1111,394720245,The Power Broker: Robert Moses and the Fall of New York,['Robert A. Caro'],1975,10232,4.51,1344,1138,Paperback,False,Vintage,1
794,1115,767917332,Body Brokers: Inside America's Underground Trade in Human Remains,['Annie Cheney'],2006,209,3.77,240,42,Hardcover,False,Broadway,1
795,1116,60777303,"The Devil's Broker: Seeking Gold, God, and Glory in Fourteenth- Century Italy",['Frances Stonor Saunders'],2006,159,3.93,416,23,Paperback,False,Harper Perennial,1
796,1117,345480600,"The Power Broker: A Novel (Christian Gillette, #3)",['Stephen W. Frey'],2006,27,3.74,320,1,Hardcover,False,Ballantine Books,1
797,1118,471783188,Broker to Broker: Management Lessons from America's Most Successful Real Estate Companies,"['Robert Freedman', 'Realtor Magazine']",2005,6,3.78,304,0,Hardcover,False,Wiley,2
798,1120,60193395,Body For Life: 12 Weeks to Mental and Physical Strength,"['Bill Phillips', ""Michael D'Orso""]",1999,3827,3.73,201,271,Hardcover,False,"HarperCollins Publishers, Inc.",2
799,1121,1579546013,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,"['Pamela Peeke', 'Cindy Crawford']",2005,397,3.63,288,63,Hardcover,False,Rodale Books,2
800,1122,60515597,Body for Life Success Journal,['Bill Phillips'],2002,160,4.06,312,2,Hardcover,False,William Morrow,1
801,1123,972018417,"Eating for Life: Your Guide to Great Health, Fat Loss and Increased Energy!",['Bill Phillips'],2003,796,3.95,405,51,Hardcover,False,High Point Media,1
803,1125,1572930004,Body Life: The Book That Inspired a Return to the Church's Real Meaning and Mission,"['Ray C. Stedman', 'Billy Graham']",1995,38,3.93,272,3,Paperback,False,Discovery House,2
804,1126,525949194,"One Body, One Life: Six Weeks to the New You","['Gregory Joujon-Roche', 'Cameron Stauth']",2006,10,3.3,288,0,Hardcover,False,Dutton Adult,2
805,1127,306814579,Body Piercing Saved My Life: Inside the Phenomenon of Christian Rock,['Andrew Beaujon'],2006,275,3.62,291,45,Paperback,False,Da Capo Press,1
806,1130,471743674,The Warren Buffett Way,"['Robert G. Hagstrom', 'Bill Miller', 'Kenneth L. Fisher']",2005,224,4.12,245,16,Paperback,False,John Wiley & Sons,3
807,1131,471392642,The Warren Buffett Portfolio: Mastering the Power of the Focus Investment Strategy,['Robert G. Hagstrom'],2000,56,4.14,256,1,Paperback,False,Wiley,1
808,1132,068484821X,Buffettology: The Previously Unexplained Techniques That Have Made Warren Buffett the World's Most Famous Investor,"['Mary Buffett', 'David Clark']",1999,1947,3.94,320,55,Paperback,False,Scribner,2
809,1133,471655848,Trade Like Warren Buffett,['James Altucher'],2005,71,3.59,246,7,Hardcover,False,Wiley,1
810,1134,047116996X,Warren Buffett Speaks: Wit and Wisdom from the World's Greatest Investor,"['Janet Lowe', 'Warren Buffett']",1997,40,3.9,208,3,Hardcover,False,Wiley,2
811,1135,71409394,How to Think Like Benjamin Graham and Invest Like Warren Buffett,['Lawrence A. Cunningham'],2002,195,3.75,224,8,Paperback,False,McGraw-Hill Education,1
812,1136,471397741,J. K. Lasser's Pick Stocks Like Warren Buffett,['Warren Boroson'],2001,7,3.44,304,2,Paperback,False,John Wiley & Sons,1
813,1138,471430455,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,"['Robert P. Miles', 'Tom Osborne']",2003,37,4.07,432,1,Paperback,False,Wiley,2
814,1139,1857883322,"The Real Warren Buffett: Managing Capital, Leading People","[""James O'Loughlin""]",2004,90,3.95,228,8,Paperback,False,Nicholas Brealey,1
815,1141,380788861,Warren Buffett: : Master of the Market,['Jay Steele'],1999,12,3.62,224,0,Paperback,False,PerfectBound,1
816,1142,312358784,The Winning Investment Habits of Warren Buffett & George Soros,"['Mark Tier', 'Warren Buffett', 'George Soros']",2006,276,4.04,368,16,Paperback,False,St. Martin's Griffin,3
817,1143,155611432X,Warren Buffett: The Good Guy of Wall Street,['Andrew Kilpatrick'],1995,10,4.1,304,0,Paperback,False,Plume,1
818,1144,470821531,Warren Buffett: An Illustrated Biography of the World's Most Successful Investor,"['Ayano Morio', 'Mark Schreiber']",2004,74,3.71,160,14,Paperback,False,Wiley,2
819,1145,156025954X,A Weekend with Warren Buffett: And Other Shareholder Meeting Adventures,['Randy Cepuch'],2007,47,3.65,250,8,Hardcover,False,Thunder's Mouth Press,1
820,1150,684871718,The Buffettology Workbook: Value Investing The Warren Buffett Way,"['Mary Buffett', 'David Clark']",2001,35,3.97,192,2,Paperback,False,Scribner,2
821,1154,471430463,101 Reasons to Own the World's Greatest Investment: Warren Buffett's Berkshire Hathaway,['Robert P. Miles'],2003,21,3.58,270,0,Paperback,False,Wiley,1
822,1156,964190540,Of Permanent Value: The Story of Warren Buffet,['Andrew Kilpatrick'],2002,3,4.06,1489,1,Hardcover,False,Andy Kilpatrick Publishing Empire,1
823,1160,471446912,Damn Right!: Behind the Scenes with Berkshire Hathaway Billionaire Charlie Munger,"['Janet Lowe', 'Warren Buffett']",2003,1177,4.14,294,46,Paperback,False,John Wiley & Sons,2
824,1162,446676950,Monkey Business: Swinging Through the Wall Street Jungle,"['John Rolfe', 'Peter Troob']",2001,3986,3.94,288,132,Paperback,False,Grand Central Publishing,2
825,1163,1553374622,Monkey Business,['Wallace Edwards'],2004,125,4.19,32,29,Hardcover,False,Kids Can Press,1
826,1164,805431578,Monkey Business: True Story of the Scopes Trial,"['Marvin N. Olasky', 'John R. Perry']",2005,26,3.15,368,8,Paperback,False,B Books,2
827,1165,762424044,"Mice, Morals, & Monkey Business",['Christopher Wormell'],2005,13,3.59,64,5,Hardcover,False,Running Press,1
828,1166,141303905,"Hank the Cowdog and Monkey Business (Hank the Cowdog, #14)","['John R. Erickson', 'Gerald L. Holmes']",1998,526,4.09,128,18,Paperback,False,Puffin,2
829,1167,679838864,"Junie B. Jones and a Little Monkey Business (Junie B. Jones, #2)","['Barbara Park', 'Denise Brunkus']",1993,10830,3.98,68,598,Paperback,False,Random House Books for Young Readers,2
830,1169,373250711,Monkey Business,['Sarah Mlynowski'],2004,3300,3.67,392,68,Paperback,False,Red Dress Ink,1
831,1170,670863939,Monkey Business,"['J. Otto Seibold', 'Vivian Walsh']",1995,38,3.76,32,4,Hardcover,False,Viking Juvenile,2
832,1171,140143459,Liar's Poker,['Michael   Lewis'],1990,22775,4.15,256,929,Paperback,False,Penguin Books,1
834,1177,802732291,Liar's Poker: A Harry Garnish Mystery,['Frank McConnell'],1993,13,3.31,214,1,Hardcover,False,Walker & Company,1
835,1179,1572840226,"Simply Italian: 100 Easy-To-Make, Zesty, Satisfying Favorites","['Ruth Glick', 'Nancy Baggett']",1999,1,5.0,161,0,Paperback,False,Surrey Books,2
