,Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Format_Buku,Ebook,Penerbit,Jumlah_Penulis
42,57,1595962808,A Changeling for All Seasons (Changeling Seasons #1),"['Angela Knight', 'Sahara Kelly', 'Judy Mays', 'Marteeka Karland', 'Kate Douglas', 'Shelby Morgen', 'Lacey Savage', 'Kate Hill', 'Willa Okati']",2005,167,3.75,304,4,Paperback,False,Changeling Press,9
43,58,670059676,"Changeling (Changeling, #1)",['Delia Sherman'],2006,962,3.61,256,110,Hardcover,False,Viking Juvenile,1
44,59,141312629,The Changeling Sea,['Patricia A. McKillip'],2003,4363,4.07,137,291,Paperback,False,Firebird,1
45,61,595321801,The Changeling,['Zilpha Keatley Snyder'],2004,1164,4.17,228,94,Paperback,False,iUniverse,1
46,63,1590301943,The Changeling,['Kate Horsley'],2005,296,3.55,339,43,Paperback,False,Shambhala,1
47,65,765348527,"Shadows in the Starlight (Changeling Detective, #2)",['Elaine Cunningham'],2007,34,3.69,288,6,Mass Market Paperback,False,Tor Books,1
48,66,449146979,"The Changeling (Daughters of England, #15)",['Philippa Carr'],1990,343,3.99,369,12,Mass Market Paperback,False,Ivy Books,1
49,67,61159174,The Known World,['Edward P. Jones'],2006,29173,3.83,388,2582,Paperback,False,Amistad,1
50,68,006076273X,The Known World,"['Edward P. Jones', 'Kevin R. Free']",2004,50,3.83,14,12,Audio CD,False,HarperAudio,2
51,69,60749911,The Known World,['Edward P. Jones'],2004,22,3.83,576,3,Paperback,False,Harper,1
52,71,273704745,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",['Satyajit Das'],2006,1418,3.83,334,79,Paperback,False,FT Press,1
53,72,1932386106,Artesia: Adventures in the Known World,['Mark Smylie'],2005,52,4.13,352,4,Hardcover,False,Archaia,1
54,73,096513671X,The Known World,['Edward P. Jones'],2003,15,3.83,388,2,Paperback,False,Amistad/HarperCollins,1
55,74,374517193,"The John McPhee Reader (John McPhee Reader, #1)","['John McPhee', 'William Howarth']",1982,554,4.43,416,36,Paperback,False,"Farrar, Straus and Giroux",2
56,75,374280398,Uncommon Carriers,['John McPhee'],2006,1580,3.95,248,195,Hardcover,False,Farrar Straus Giroux,1
57,76,374519749,Heirs of General Practice,['John McPhee'],1986,260,4.16,128,18,Paperback,False,"Farrar, Straus and Giroux",1
58,77,374522596,The Control of Nature,['John McPhee'],1990,3395,4.24,288,293,Paperback,False,"Farrar, Straus and Giroux",1
59,78,374518734,Annals of the Former World,['John McPhee'],1999,2998,4.34,720,211,Paperback,False,"Farrar, Straus and Giroux",1
60,79,374522871,Coming Into the Country,['John McPhee'],1991,5521,4.22,448,248,Paperback,False,"Farrar, Straus and Giroux",1
61,80,374519323,La Place de la Concorde Suisse,['John McPhee'],1994,680,3.92,160,52,Paperback,False,"Farrar, Straus and Giroux",1
62,81,374516006,Giving Good Weight,['John McPhee'],1994,534,4.22,288,36,Paperback,False,"Farrar, Straus and Giroux",1
63,82,374256861,"The Second John McPhee Reader (John McPhee Reader, #2)","['John McPhee', 'David Remnick', 'Patricia Strachan']",1996,6,4.36,393,1,Hardcover,False,"Farrar, Straus and Giroux",3
64,83,374520658,Rising from the Plains,['John McPhee'],1987,1286,4.22,208,91,Paperback,False,"Farrar, Straus and Giroux",1
65,85,822205106,The Heidi Chronicles,['Wendy Wasserstein'],2002,1376,3.74,81,71,Paperback,False,Dramatists Play Service,1
66,86,679734996,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,['Wendy Wasserstein'],1991,2747,3.84,249,62,Paperback,False,Vintage,1
67,89,1596670231,"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",['Heidi Hayes Jacobs'],2006,31,3.94,138,1,Paperback,False,Routledge,1
68,90,1581807740,Simply Beautiful Beaded Jewelry,['Heidi Boyd'],2006,62,3.77,128,4,Paperback,False,North Light Books,1
69,91,800793617,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,"['Heidi Baker', 'Rolland Baker']",2003,836,4.47,192,52,Paperback,False,Chosen Books,2
70,92,871202867,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,['Heidi Hayes Jacobs'],1997,73,3.68,108,2,Paperback,False,Association for Supervision & Curriculum Development,1
71,93,753454947,Heidi,"['Johanna Spyri', 'Beverly Cleary', 'Angelo  Rinaldi']",2002,151418,3.98,352,2191,Paperback,False,Kingfisher,3
72,94,871209993,Getting Results with Curriculum Mapping,['Heidi Hayes Jacobs'],2004,54,3.26,192,5,Paperback,False,ASCD,1
73,95,843946687,"Cinnamon and Roses (Rose Trilogy, #1)",['Heidi Betts'],2000,57,3.81,298,5,Paperback,False,Leisure Books,1
74,96,1852402873,There's Always Enough: The Miraculous Move of God in Mozambique,"['Rolland Baker', 'Heidi Baker']",2003,34,4.47,192,6,Paperback,False,Sovereign World,2
75,98,761129588,What to Expect the First Year (What to Expect),"['Heidi Murkoff', 'Sharon Mazel', 'Heidi Murkoff', 'Arlene Eisenberg', 'Sandee Hathaway', 'Mark D. Widome']",2003,11564,3.88,832,652,Paperback,False,Workman Publishing Company,6
77,100,1581805632,Simply Beautiful Beading: 53 Quick and Easy Projects,['Heidi Boyd'],2004,78,3.78,128,4,Paperback,False,North Light Books,1
78,101,1852428937,Chasing Jordan,['Heidi W. Boehringer'],2005,35,3.51,240,7,Paperback,False,Serpent's Tail,1
79,102,373767099,Seven-Year Seduction,['Heidi Betts'],2006,77,3.59,184,5,Mass Market Paperback,False,Silhouette Desire,1
80,103,441294677,"God Emperor of Dune (Dune Chronicles, #4)",['Frank Herbert'],1987,2717,3.84,423,165,Mass Market Paperback,False,Ace Books,1
82,105,441102670,Chapterhouse: Dune (Dune Chronicles #6),['Frank Herbert'],1987,38746,3.9,436,559,Mass Market Paperback,False,Ace Books,1
83,106,441172695,Dune Messiah (Dune Chronicles #2),['Frank Herbert'],1987,97204,3.88,331,2330,Mass Market Paperback,False,Ace Books,1
84,107,765306476,Dreamer of Dune: The Biography of Frank Herbert,['Brian Herbert'],2004,767,3.99,592,21,Paperback,False,Tor Books,1
85,108,074340730X,The Secrets of Frank Herbert's Dune,"['James Van Hise', 'Michael D. Messina']",2000,42,3.55,160,0,Paperback,False,iBooks,2
86,109,399128980,"Heretics of Dune (Dune Chronicles, #5)",['Frank Herbert'],1984,262,3.86,480,18,Hardcover,False,Putnam,1
