,Tweets
46,"RT @deanlynx: Renungan gaes...
#matilampu
#matilampulagi 
#jakartablackout 
#PLNDown https://t.co/cnGJvWbNBG"
47,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
48,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
49,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
50,ini sebagai bentuk mengapresiasi kerja PLN untuk Bangsa dan Negara Indonesia #pln #matilampu #matilampulagi… https://t.co/ZlWkn7OadI
51,Wah emang netizen +62! Black out enggak menghalangi update sosmed! #viral #matilampu #matilampulagi #blackout… https://t.co/1qX0Zzwhnq
52,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
53,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
54,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
55,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
56,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
57,"Bu susi pudjiastuti, segera usut kasus ini, sayangi laut kita karena dampaknya akan besar, dan butuh waktu lama unt… https://t.co/dJ7kLR2hnx"
58,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
59,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
60,"RT @kachaww_: Mengatasi polusi di jakarta :
Menggunakan kendaraan umum ❌
Mengurangi konsumsi plastik❌
Menanam tumbuhan lidah mertua❌
Mati l…"
61,"RT @MarvixMz: Penyebab mati listrik gengs
#matilampulagi #matilampu #matilistrik https://t.co/KnXmXb93zd"
62,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
63,"Rencananya PLN akan memberikan kompensasi untuk pelanggan yang terkena dampak pemadaman listrik, dengan skema mengu… https://t.co/cAgOo97lhS"
64,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
65,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
