,Book_Title,Author,Rating,Score,People_Voted
550,"Wood, Talc and Mr. J",Chris   Rose,4.39,588,"d
6 people voted
       "
551,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Sam Kean,3.91,587,"d
7 people voted
       "
552,The Peach Keeper,Sarah Addison Allen,3.84,585,"d
9 people voted
       "
553,All Our Yesterdays,Cristin Terrill,4.03,578,"d
7 people voted
       "
554,A Brief History of Seven Killings,Marlon James,3.87,578,"d
8 people voted
       "
555,Super Sad True Love Story,Gary Shteyngart,3.45,578,"d
8 people voted
       "
556,The Prague Cemetery,Umberto Eco,3.43,578,"d
7 people voted
       "
557,Colombiano,Rusty Young,4.38,578,"d
6 people voted
       "
558,"Poets in Hell (Heroes in Hell, #17)",Janet E. Morris,4.83,575,"d
6 people voted
       "
559,The Sacred Band,Janet E. Morris,4.51,570,"d
6 people voted
       "
560,The Imperfectionists,Tom Rachman,3.54,560,"d
7 people voted
       "
561,"Grey (Fifty Shades as Told by Christian, #1)",E.L. James,3.78,560,"d
8 people voted
       "
562,A Street Cat Named Bob: How One Man and His Cat Found Hope on the Streets,James Bowen,3.97,559,"d
8 people voted
       "
563,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars, #4)",Ian Doescher,3.95,556,"d
7 people voted
       "
564,"Rebel of the Sands (Rebel of the Sands, #1)",Alwyn Hamilton,3.98,555,"d
8 people voted
       "
565,Wonderstruck,Brian Selznick,4.17,554,"d
7 people voted
       "
566,"The Beautiful Mystery (Chief Inspector Armand Gamache, #8)",Louise Penny,4.19,553,"d
7 people voted
       "
567,Detroit: An American Autopsy,Charlie LeDuff,3.95,551,"d
7 people voted
       "
568,"Red Rising (Red Rising, #1)",Pierce Brown,4.27,551,"d
8 people voted
       "
569,China Dolls,Lisa See,3.61,549,"d
8 people voted
       "
570,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,George R.R. Martin,4.26,549,"d
7 people voted
       "
571,Among Others,Jo Walton,3.69,548,"d
6 people voted
       "
572,"Fair Game (Alpha & Omega, #3)",Patricia Briggs,4.34,547,"d
7 people voted
       "
573,Archer's Voice,Mia Sheridan,4.42,547,"d
7 people voted
       "
574,The Rest of Us Just Live Here,Patrick Ness,3.73,544,"d
7 people voted
       "
575,"The Ruby Circle (Bloodlines, #6)",Richelle Mead,4.23,542,"d
11 people voted
      "
576,"Happy Ever After (Bride Quartet, #4)",Nora Roberts,4.17,541,"d
6 people voted
       "
577,The Flamethrowers,Rachel Kushner,3.48,539,"d
7 people voted
       "
578,Two Boys Kissing,David Levithan,4.09,538,"d
6 people voted
       "
579,"Skin Game (The Dresden Files, #15)",Jim Butcher,4.56,536,"d
7 people voted
       "
580,"Sleeping Giants (Themis Files, #1)",Sylvain Neuvel,3.84,535,"d
6 people voted
       "
581,The Sea of Tranquility,Katja Millay,4.32,534,"d
6 people voted
       "
582,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",Laini Taylor,4.18,534,"d
7 people voted
       "
583,Autumn,Ali Smith,3.71,534,"d
6 people voted
       "
584,"Pleasure of a Dark Prince (Immortals After Dark, #8)",Kresley Cole,4.41,533,"d
6 people voted
       "
585,Lucky Us,Amy Bloom,3.22,533,"d
8 people voted
       "
586,"Perfect Scoundrels (Heist Society, #3)",Ally Carter,4.28,530,"d
7 people voted
       "
587,"The Broken Kingdoms (Inheritance, #2)",N.K. Jemisin,4.07,529,"d
6 people voted
       "
588,The Girl Who Fell from the Sky,Heidi W. Durrow,3.61,529,"d
8 people voted
       "
589,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,3.93,527,"d
7 people voted
       "
590,Iron House,John Hart,4.09,524,"d
7 people voted
       "
591,"The Transfer (Divergent, #0.1)",Veronica Roth,4.18,524,"d
7 people voted
       "
592,"Beautiful Chaos (Caster Chronicles, #3)",Kami Garcia,3.94,523,"d
9 people voted
       "
593,"The Aeronaut's Windlass (The Cinder Spires, #1)",Jim Butcher,4.18,519,"d
6 people voted
       "
594,"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",Rachel Joyce,3.91,519,"d
6 people voted
       "
595,The Sellout,Paul Beatty,3.77,518,"d
7 people voted
       "
596,"Existence (Existence Trilogy, #1)",Abbi Glines,3.94,516,"d
8 people voted
       "
597,"Captive Prince (Captive Prince, #1)",C.S. Pacat,3.91,515,"d
7 people voted
       "
598,Bleeding Edge,Thomas Pynchon,3.57,513,"d
5 people voted
       "
599,"The Heroes (First Law World, #5)",Joe Abercrombie,4.29,511,"d
6 people voted
       "
600,"A Knight of the Seven Kingdoms (The Tales of Dunk and Egg, #1-3)",George R.R. Martin,4.21,510,"d
7 people voted
       "
601,"Vicious (Villains, #1)",V.E. Schwab,4.25,509,"d
7 people voted
       "
602,"Partials (Partials Sequence, #1)",Dan Wells,3.94,508,"d
6 people voted
       "
603,The Last Runaway,Tracy Chevalier,3.80,508,"d
6 people voted
       "
604,The Sleeper and the Spindle,Neil Gaiman,3.90,508,"d
7 people voted
       "
605,"Midnight (The Vampire Diaries: The Return, #3)",L.J. Smith,3.79,506,"d
7 people voted
       "
606,"Magic Slays (Kate Daniels, #5)",Ilona Andrews,4.43,506,"d
7 people voted
       "
607,"Spells (Wings, #2)",Aprilynne Pike,3.98,505,"d
8 people voted
       "
608,A Thousand Mornings,Mary Oliver,4.20,504,"d
6 people voted
       "
609,Harry Potter and the Cursed Child - Parts I & II,John Tiffany,3.67,504,"d
7 people voted
       "
610,Dancing in the Glory of Monsters: The Collapse of the Congo and the Great War of Africa,Jason  Stearns,4.14,501,"d
6 people voted
       "
611,Meditation on Space-Time,Leonard Seet,4.04,500,"d
5 people voted
       "
612,"The Tied Man (The Tied Man, #1)",Tabitha McGowan,4.05,500,"d
5 people voted
       "
613,Humans of New York,Brandon Stanton,4.48,500,"d
6 people voted
       "
614,Brazen Violations,Jonathan Macpherson,4.21,500,"d
5 people voted
       "
615,Off the Grid: The Catalyst,Brian  Courtney,4.19,500,"d
5 people voted
       "
616,"Immortal Matchmakers, Inc. (Immortal Matchmakers, Inc., #1)",Mimi Jean Pamfiloff,3.93,499,"d
5 people voted
       "
617,An Officer and a Spy,Robert   Harris,4.16,497,"d
6 people voted
       "
618,Six Years,Harlan Coben,3.82,496,"d
6 people voted
       "
619,The Beech Tree,Don  Phelan,4.09,495,"d
5 people voted
       "
620,"Unraveled (Intertwined, #2)",Gena Showalter,4.05,490,"d
6 people voted
       "
621,Calico Jack in your Garden,Karl Wiggins,4.19,490,"d
5 people voted
       "
622,"Lila (Gilead, #3)",Marilynne Robinson,3.91,490,"d
6 people voted
       "
623,Fangirl,Rainbow Rowell,4.08,490,"d
7 people voted
       "
624,Stay Close,Harlan Coben,3.88,488,"d
7 people voted
       "
625,Percy Jackson's Greek Gods,Rick Riordan,4.49,487,"d
8 people voted
       "
626,Secret Deceptions (Amatore's Restaurant #1),James Sillwood,4.45,486,"d
5 people voted
       "
627,"Dreamers in Hell (Heroes in Hell, #16)",Janet E. Morris,4.71,484,"d
5 people voted
       "
628,"City of Dragons (Rain Wild Chronicles, #3)",Robin Hobb,4.08,484,"d
6 people voted
       "
629,Doctors in Hell (Heroes in Hell #18),Janet E. Morris,4.79,483,"d
5 people voted
       "
630,Revival,Stephen King,3.76,480,"d
7 people voted
       "
631,"Blood of Dragons (Rain Wild Chronicles, #4)",Robin Hobb,4.15,480,"d
6 people voted
       "
632,"The Republic of Thieves (Gentleman Bastard, #3)",Scott Lynch,4.23,477,"d
6 people voted
       "
633,"Parasite (Parasitology, #1)",Mira Grant,3.66,477,"d
6 people voted
       "
634,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,3.98,477,"d
6 people voted
       "
635,The Absolutist,John Boyne,4.04,476,"d
6 people voted
       "
636,Night Road,Kristin Hannah,4.17,476,"d
7 people voted
       "
637,"The Immortals of Meluha (Shiva Trilogy, #1)",Amish Tripathi,4.06,474,"d
5 people voted
       "
638,"Shift (Shift, #1-3; Silo, #2)",Hugh Howey,4.12,473,"d
6 people voted
       "
639,2003 - Thanks for the Vodka,Harpie,4.47,472,"d
5 people voted
       "
640,The Wright Brothers,David McCullough,4.14,469,"d
5 people voted
       "
641,"Opposition (Lux, #5)",Jennifer L. Armentrout,4.41,466,"d
8 people voted
       "
642,Zero K,Don DeLillo,3.20,466,"d
6 people voted
       "
643,Citizen: An American Lyric,Claudia Rankine,4.28,465,"d
6 people voted
       "
644,"White Cat (Curse Workers, #1)",Holly Black,3.80,460,"d
6 people voted
       "
645,Why Be Happy When You Could Be Normal?,Jeanette Winterson,3.97,460,"d
5 people voted
       "
646,Embassytown,China Miéville,3.87,458,"d
6 people voted
       "
647,The Nix,Nathan  Hill,4.09,457,"d
5 people voted
       "
648,"The Expats (Kate Moore, #1)",Chris Pavone,3.44,454,"d
6 people voted
       "
649,The Woman Upstairs,Claire Messud,3.31,454,"d
7 people voted
       "
650,Home,Toni Morrison,3.74,453,"d
6 people voted
       "
651,"Silber: Das erste Buch der Träume (Silber, #1)",Kerstin Gier,4.05,452,"d
6 people voted
       "
652,Elizabeth Is Missing,Emma Healey,3.71,450,"d
6 people voted
       "
653,Lexicon,Max Barry,3.90,450,"d
6 people voted
       "
654,"Saga, Vol. 4",Brian K. Vaughan,4.46,450,"d
7 people voted
       "
655,"Touch of Frost (Mythos Academy, #1)",Jennifer Estep,3.95,447,"d
7 people voted
       "
656,"The Reversal (Mickey Haller, #3)",Michael Connelly,4.15,447,"d
6 people voted
       "
657,"The Last Policeman (The Last Policeman, #1)",Ben H. Winters,3.76,446,"d
6 people voted
       "
658,The Eyes of the Dragon,Stephen King,3.93,441,"d
5 people voted
       "
659,"Moonlight Mile (Kenzie & Gennaro,#6)",Dennis Lehane,3.72,440,"d
5 people voted
       "
660,Lady Almina and the Real Downton Abbey: The Lost Legacy of Highclere Castle,Fiona Carnarvon,3.63,439,"d
6 people voted
       "
661,"The Disaster Artist: My Life Inside The Room, the Greatest Bad Movie Ever Made",Greg Sestero,4.37,439,"d
5 people voted
       "
662,Leaving the Atocha Station,Ben Lerner,3.79,438,"d
5 people voted
       "
663,Boomerang: Travels in the New Third World,Michael   Lewis,3.89,435,"d
5 people voted
       "
664,"The Invisible Library (The Invisible Library, #1)",Genevieve Cogman,3.73,430,"d
5 people voted
       "
665,"11th Hour (Women's Murder Club, #11)",James Patterson,4.05,429,"d
5 people voted
       "
666,The Great Alone,Kristin Hannah,4.32,429,"d
5 people voted
       "
667,Turn of Mind,Alice LaPlante,3.65,428,"d
5 people voted
       "
668,"United We Spy (Gallagher Girls, #6)",Ally Carter,4.44,425,"d
6 people voted
       "
669,The Burgess Boys,Elizabeth Strout,3.56,425,"d
5 people voted
       "
670,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4.21,425,"d
5 people voted
       "
671,Half Blood Blues,Esi Edugyan,3.66,422,"d
7 people voted
       "
672,"Prague Fatale (Bernard Gunther, #8)",Philip Kerr,4.12,421,"d
5 people voted
       "
673,The Gravity of Birds,Tracy Guzeman,3.84,420,"d
5 people voted
       "
674,The Pearl That Broke Its Shell,Nadia Hashimi,4.14,420,"d
5 people voted
       "
675,"Attack on Titan, Vol. 1 (Attack on Titan, #1)",Hajime Isayama,4.42,418,"d
5 people voted
       "
676,Through the Woods,Emily Carroll,3.91,415,"d
5 people voted
       "
677,"After You (Me Before You, #2)",Jojo Moyes,3.72,415,"d
7 people voted
       "
678,The Invention of Murder: How the Victorians Revelled in Death and Detection and Created Modern Crime,Judith Flanders,3.43,414,"d
6 people voted
       "
679,Heartless,Marissa Meyer,4.05,414,"d
6 people voted
       "
680,Grasshopper Jungle,Andrew  Smith,3.64,413,"d
5 people voted
       "
681,The Beginner's Goodbye,Anne Tyler,3.59,412,"d
6 people voted
       "
682,"Girl of Nightmares (Anna, #2)",Kendare Blake,3.87,412,"d
6 people voted
       "
683,"Murder of Crows (The Others, #2)",Anne Bishop,4.30,412,"d
5 people voted
       "
684,Dewey's Nine Lives: The Legacy of the Small-Town Library Cat Who Inspired Millions,Vicki Myron,4.04,411,"d
7 people voted
       "
685,Some Girls: My Life in a Harem,Jillian Lauren,3.32,411,"d
5 people voted
       "
686,"Sister Queens: The Noble, Tragic Lives of Katherine of Aragon and Juana, Queen of Castile",Julia Fox,3.78,410,"d
5 people voted
       "
687,"Never Fade (The Darkest Minds, #2)",Alexandra Bracken,4.28,410,"d
6 people voted
       "
688,Norse Mythology,Neil Gaiman,4.09,410,"d
5 people voted
       "
689,Remember Me?,Sophie Kinsella,3.77,409,"d
5 people voted
       "
690,The Obsession,Nora Roberts,4.20,409,"d
5 people voted
       "
691,"Magic Rises (Kate Daniels, #6)",Ilona Andrews,4.48,406,"d
5 people voted
       "
692,Animal Magnet,Gary    Anderson,4.44,400,"d
4 people voted
       "
693,The Emperor's Soul,Brandon Sanderson,4.35,400,"d
5 people voted
       "
694,A Girl Is a Half-formed Thing,Eimear McBride,3.47,400,"d
5 people voted
       "
695,Quantos Rising,Venancio Cadle Gomani Jr.,4.80,400,"d
4 people voted
       "
696,The Tree with a Thousand Apples,Sanchit Gupta,4.56,400,"d
4 people voted
       "
697,The Martian,Andy Weir,4.40,400,"d
5 people voted
       "
698,"Griftopia: Bubble Machines, Vampire Squids, and the Long Con That Is Breaking America",Matt Taibbi,4.15,399,"d
5 people voted
       "
699,"Legion (Legion, #1)",Brandon Sanderson,4.14,399,"d
5 people voted
       "
700,And Then Run,Eric Hublot,3.55,398,"d
4 people voted
       "
701,"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen King,4.04,398,"d
6 people voted
       "
702,"The Secret Place (Dublin Murder Squad, #5)",Tana French,3.85,398,"d
5 people voted
       "
703,"Liliana (Liliana, #1)",Neva Squires-Rodriguez,3.75,397,"d
4 people voted
       "
704,The Legend of the Blue Eyes (Blue Eyes Trilogy #1),B. Kristin McMichael,3.83,397,"d
4 people voted
       "
705,Mr. Fox,Helen Oyeyemi,3.59,397,"d
5 people voted
       "
706,"The Thousand Names (The Shadow Campaigns, #1)",Django Wexler,4.04,394,"d
5 people voted
       "
707,"The Lost Saint (The Dark Divine, #2)",Bree Despain,4.03,393,"d
5 people voted
       "
708,Washington: A Life,Ron Chernow,4.07,393,"d
5 people voted
       "
709,The Shining Girls,Lauren Beukes,3.50,393,"d
5 people voted
       "
710,"Exile for Dreamers (Stranje House, #2)",Kathleen Baldwin,4.11,393,"d
4 people voted
       "
711,Death's End (Remembrance of Earth’s Past #3),Liu Cixin,4.44,392,"d
4 people voted
       "
712,The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,4.22,392,"d
4 people voted
       "
713,The Universe Versus Alex Woods,Gavin Extence,4.09,391,"d
5 people voted
       "
714,"A School for Unusual Girls (Stranje House, #1)",Kathleen Baldwin,3.86,391,"d
4 people voted
       "
715,Let's Explore Diabetes with Owls,David Sedaris,3.81,391,"d
5 people voted
       "
716,Open City,Teju Cole,3.50,390,"d
5 people voted
       "
717,"The Retribution of Mara Dyer (Mara Dyer, #3)",Michelle Hodkin,4.11,390,"d
6 people voted
       "
718,"The Magician's Land (The Magicians, #3)",Lev Grossman,4.16,390,"d
6 people voted
       "
719,Small Great Things,Jodi Picoult,4.34,390,"d
5 people voted
       "
720,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,4.16,388,"d
4 people voted
       "
721,River of Smoke,Amitav Ghosh,3.93,386,"d
5 people voted
       "
722,Pirates: The Midnight Passage,James R. Hannibal,4.20,386,"d
4 people voted
       "
723,Stories I Only Tell My Friends,Rob Lowe,3.79,386,"d
6 people voted
       "
724,"The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making (Fairyland, #1)",Catherynne M. Valente,3.97,384,"d
5 people voted
       "
725,"Magic Shifts (Kate Daniels, #8)",Ilona Andrews,4.46,383,"d
5 people voted
       "
726,Jamrach's Menagerie,Carol Birch,3.58,381,"d
6 people voted
       "
727,The Drowning Girl,Caitlín R. Kiernan,3.72,380,"d
4 people voted
       "
728,"The Starbirth Assignment: Shifter (Starbirth, #1)",J.M. Johnson,4.28,378,"d
4 people voted
       "
729,"The Rising (Darkness Rising, #3)",Kelley Armstrong,4.12,376,"d
6 people voted
       "
730,An Untamed State,Roxane Gay,4.08,376,"d
6 people voted
       "
731,"Rogues in Hell (Heroes in Hell, #14)",Janet E. Morris,4.69,376,"d
4 people voted
       "
732,"Passenger (Passenger, #1)",Alexandra Bracken,3.79,376,"d
5 people voted
       "
733,"The Shifter Dimension (Starbirth, #2)",J.M. Johnson,4.69,376,"d
4 people voted
       "
734,Orfeo,Richard Powers,3.64,375,"d
5 people voted
       "
735,An Astronaut's Guide to Life on Earth,Chris Hadfield,4.17,374,"d
4 people voted
       "
736,"Shadow Team GB (Starbirth, #3)",J.M. Johnson,4.84,373,"d
4 people voted
       "
737,The Lost Sisterhood,Anne Fortier,3.86,372,"d
4 people voted
       "
738,"Goliath (Leviathan, #3)",Scott Westerfeld,4.25,370,"d
5 people voted
       "
739,The Litigators,John Grisham,3.80,369,"d
5 people voted
       "
740,Salt Sugar Fat: How the Food Giants Hooked Us,Michael Moss,3.99,368,"d
4 people voted
       "
741,"Beautiful Darkness (Caster Chronicles, #2)",Kami Garcia,3.84,368,"d
6 people voted
       "
742,Milk and Honey,Rupi Kaur,4.12,368,"d
5 people voted
       "
743,Commonwealth,Ann Patchett,3.81,368,"d
5 people voted
       "
744,The Cat's Table,Michael Ondaatje,3.60,367,"d
6 people voted
       "
745,"The Last Star (The 5th Wave, #3)",Rick Yancey,3.63,366,"d
6 people voted
       "
746,"Age of Myth (The Legends of the First Empire, #1)",Michael J. Sullivan,4.25,366,"d
4 people voted
       "
747,Blue Is the Warmest Color,Julie Maroh,3.92,365,"d
4 people voted
       "
748,"Moon Over Soho (Peter Grant, #2)",Ben Aaronovitch,4.10,365,"d
5 people voted
       "
749,"Light (Gone, #6)",Michael  Grant,4.39,363,"d
5 people voted
       "
750,"Only the Good Spy Young (Gallagher Girls, #4)",Ally Carter,4.29,363,"d
5 people voted
       "
751,Calico Joe,John Grisham,3.81,363,"d
6 people voted
       "
752,California,Edan Lepucki,3.23,362,"d
5 people voted
       "
753,"Alienated (Alienated, #1)",Melissa Landers,3.92,361,"d
5 people voted
       "
754,"King of Thorns (The Broken Empire, #2)",Mark  Lawrence,4.20,360,"d
4 people voted
       "
755,Paris,Edward Rutherfurd,3.99,359,"d
5 people voted
       "
756,The Museum of Extraordinary Things,Alice Hoffman,3.74,359,"d
5 people voted
       "
757,"Saga, Vol. 3",Brian K. Vaughan,4.54,358,"d
6 people voted
       "
758,The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,3.93,358,"d
5 people voted
       "
759,Dark Matter,Blake Crouch,4.10,357,"d
4 people voted
       "
760,"Wool (Wool, #1)",Hugh Howey,4.12,357,"d
5 people voted
       "
761,"Cirkeln (Engelsfors, #1)",Mats Strandberg,3.85,356,"d
4 people voted
       "
762,Shadow Tag,Louise Erdrich,3.38,356,"d
5 people voted
       "
763,"Stormbird (Wars of the Roses, #1)",Conn Iggulden,3.88,355,"d
3 people voted
       "
764,"Seraphina (Seraphina, #1)",Rachel Hartman,3.97,355,"d
5 people voted
       "
765,The Bees,Laline Paull,3.69,355,"d
4 people voted
       "
766,"Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies (Pottermore Presents, #1)",J.K. Rowling,4.23,354,"d
4 people voted
       "
767,"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S.C. Gwynne,4.14,353,"d
5 people voted
       "
768,When Breath Becomes Air,Paul Kalanithi,4.35,353,"d
4 people voted
       "
769,Life Itself,Roger Ebert,3.90,352,"d
4 people voted
       "
770,Somewhere in France (The Great War #1),Jennifer Robson,3.77,351,"d
5 people voted
       "
771,Educated,Tara Westover,4.48,351,"d
4 people voted
       "
772,Missoula: Rape and the Justice System in a College Town,Jon Krakauer,4.09,350,"d
5 people voted
       "
773,"Golden Son (Red Rising, #2)",Pierce Brown,4.45,350,"d
5 people voted
       "
774,Swing Time,Zadie Smith,3.56,350,"d
4 people voted
       "
775,A Land More Kind Than Home,Wiley Cash,3.86,348,"d
5 people voted
       "
776,"Queen of Air and Darkness (The Dark Artifices, #3)",Cassandra Clare,4.38,348,"d
5 people voted
       "
777,The Testament of Mary,Colm Tóibín,3.62,348,"d
5 people voted
       "
778,"Devil in the Grove: Thurgood Marshall, the Groveland Boys, and the Dawn of a New America",Gilbert King,4.35,348,"d
5 people voted
       "
779,"A Thousand Lives: The Untold Story of Hope, Deception, and Survival at Jonestown",Julia Scheeres,3.98,347,"d
4 people voted
       "
780,"The Spirit Eater (The Legend of Eli Monpress, #3)",Rachel Aaron,4.08,347,"d
4 people voted
       "
781,News of the World,Paulette Jiles,4.08,347,"d
4 people voted
       "
782,"The Calling (Darkness Rising, #2)",Kelley Armstrong,4.10,346,"d
5 people voted
       "
783,White Trash: The 400-Year Untold History of Class in America,Nancy Isenberg,3.74,346,"d
4 people voted
       "
784,"Kings Rising (Captive Prince, #3)",C.S. Pacat,4.47,345,"d
5 people voted
       "
785,Nemesis,Philip Roth,3.79,343,"d
4 people voted
       "
786,"Shelter (Mickey Bolitar, #1)",Harlan Coben,3.94,342,"d
4 people voted
       "
787,"King's Cage (Red Queen, #3)",Victoria Aveyard,4.01,342,"d
4 people voted
       "
788,Zona: A Book about a Film about a Journey to a Room,Geoff Dyer,3.77,341,"d
4 people voted
       "
789,We Were Liars,E. Lockhart,3.84,341,"d
5 people voted
       "
790,"Etiquette & Espionage (Finishing School, #1)",Gail Carriger,3.80,340,"d
4 people voted
       "
791,"The Rise of Nine (Lorien Legacies, #3)",Pittacus Lore,4.18,340,"d
6 people voted
       "
792,23 Things They Don't Tell You about Capitalism,Ha-Joon Chang,3.98,340,"d
4 people voted
       "
793,"The Enchantress Returns (The Land of Stories, #2)",Chris Colfer,4.49,340,"d
4 people voted
       "
794,Euphoria,Lily King,3.84,337,"d
6 people voted
       "
795,"The Black Count: Glory, Revolution, Betrayal, and the Real Count of Monte Cristo",Tom Reiss,eall,336,"d
5 people voted
       "
796,Alif the Unseen,G. Willow Wilson,3.84,336,"d
4 people voted
       "
797,Jerusalem: The Biography,Simon Sebag Montefiore,4.01,336,"d
4 people voted
       "
798,"End of Days (Penryn & the End of Days, #3)",Susan Ee,4.10,336,"d
4 people voted
       "
799,"Blood Red Road (Dust Lands, #1)",Moira Young,3.92,336,"d
4 people voted
       "
800,Artemis,Andy Weir,3.67,334,"d
4 people voted
       "
801,"Sing, Unburied, Sing",Jesmyn Ward,4.03,331,"d
4 people voted
       "
802,Big Little Lies,Liane Moriarty,4.26,330,"d
6 people voted
       "
803,"Damned (Damned, #1)",Chuck Palahniuk,3.38,329,"d
4 people voted
       "
804,"Captive Prince: Volume Two (Captive Prince, #2)",C.S. Pacat,4.45,329,"d
4 people voted
       "
805,"My Brilliant Friend (The Neapolitan Novels, #1)",Elena Ferrante,3.93,328,"d
4 people voted
       "
806,"Virals (Virals, #1)",Kathy Reichs,3.94,327,"d
4 people voted
       "
807,Moonglow,Michael Chabon,3.82,327,"d
4 people voted
       "
808,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,4.12,326,"d
5 people voted
       "
809,"Endlessly (Paranormalcy, #3)",Kiersten White,3.98,325,"d
7 people voted
       "
810,A Man Called Ove,Fredrik Backman,4.36,324,"d
4 people voted
       "
811,Vampires in the Lemon Grove,Karen Russell,3.68,323,"d
5 people voted
       "
812,While We're Far Apart,Lynn Austin,4.16,323,"d
4 people voted
       "
813,"Introductions (The Ghost Bird, #1)",C.L. Stone,4.11,323,"d
5 people voted
       "
814,Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,3.90,322,"d
6 people voted
       "
815,The Fort,Bernard Cornwell,3.59,321,"d
3 people voted
       "
816,Andrew's Brain,E.L. Doctorow,3.21,321,"d
5 people voted
       "
817,"Ashfall (Ashfall, #1)",Mike Mullin,3.97,319,"d
4 people voted
       "
818,"Come Away with Me (With Me in Seattle, #1)",Kristen Proby,3.92,319,"d
4 people voted
       "
819,Everything I Never Told You,Celeste Ng,3.84,319,"d
4 people voted
       "
820,The Goblin Emperor,Katherine Addison,4.05,319,"d
4 people voted
       "
821,Turtles All the Way Down,John Green,3.98,319,"d
4 people voted
       "
822,The All-Girl Filling Station's Last Reunion,Fannie Flagg,3.99,318,"d
4 people voted
       "
823,Blue Monday (Frieda Klein #1),Nicci French,3.80,317,"d
4 people voted
       "
824,"Just One Damned Thing After Another (The Chronicles of St Mary's, #1)",Jodi Taylor,3.88,317,"d
4 people voted
       "
825,"The Passage of Power (The Years of Lyndon Johnson, #4)",Robert A. Caro,4.39,315,"d
4 people voted
       "
826,The Painter,Peter Heller,3.77,315,"d
5 people voted
       "
827,Ugly Love,Colleen Hoover,4.27,315,"d
4 people voted
       "
828,The Magic Strings of Frankie Presto,Mitch Albom,4.33,315,"d
4 people voted
       "
829,"Witch Song (Witch Song, #1)",Amber Argyle,3.68,313,"d
4 people voted
       "
830,Songs of Willow Frost,Jamie Ford,3.66,312,"d
4 people voted
       "
831,"Boy, Snow, Bird",Helen Oyeyemi,3.35,312,"d
5 people voted
       "
832,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,4.31,312,"d
4 people voted
       "
833,In a Strange Room,Damon Galgut,3.56,311,"d
4 people voted
       "
834,Toms River: A Story of Science and Salvation,Dan Fagin,4.06,311,"d
3 people voted
       "
835,"Everything, Everything",Nicola Yoon,4.08,311,"d
4 people voted
       "
836,The Enchanted,Rene Denfeld,3.96,311,"d
5 people voted
       "
837,"Beautiful Redemption (Caster Chronicles, #4)",Kami Garcia,3.93,310,"d
5 people voted
       "
838,"Conqueror (Conqueror, #5)",Conn Iggulden,4.43,310,"d
2 people voted
       "
839,The Third Reich,Roberto Bolaño,3.50,308,"d
4 people voted
       "
840,Faithful Place (Dublin Murder Squad #3),Tana French,3.98,307,"d
6 people voted
       "
841,The Great Alone,Kristin Hannah,4.32,306,"d
4 people voted
       "
842,"Forever (The Wolves of Mercy Falls, #3)",Maggie Stiefvater,3.91,304,"d
7 people voted
       "
843,This Isn't the Sort of Thing That Happens to Someone Like You,Jon McGregor,3.57,303,"d
4 people voted
       "
844,"White Hot Kiss (The Dark Elements, #1)",Jennifer L. Armentrout,4.26,302,"d
4 people voted
       "
845,The Hypnotist's Love Story,Liane Moriarty,3.70,301,"d
4 people voted
       "
846,Sea (Sea #1),Heidi R. Kling,3.82,300,"d
3 people voted
       "
847,"Shadow Catcher (Nick Baron, #1)",James R. Hannibal,3.87,300,"d
3 people voted
       "
848,The Founder's Curse (New Zigon #1),Danelle O'Donnell,4.17,300,"d
3 people voted
       "
849,Kings or Pawns (Steps of Power #1; The Kings #1),J.J. Sherwood,4.35,300,"d
3 people voted
       "
850,The Kafir Project,Lee Burvine,4.02,300,"d
3 people voted
       "
851,Edna in the Desert,Maddy Lederman,3.90,300,"d
3 people voted
       "
852,The Instructions,Adam Levin,4.06,299,"d
3 people voted
       "
853,I am Forbidden,Anouk Markovits,3.68,299,"d
3 people voted
       "
854,Table 21,T. Rafael Cimino,3.65,299,"d
3 people voted
       "
855,"Number 13 (Lightmasters, #1)",M.G. Wells,4.14,299,"d
3 people voted
       "
856,SG - Suicide Game,Haidji,3.50,299,"d
3 people voted
       "
857,"Alice (The Chronicles of Alice, #1)",Christina Henry,3.88,299,"d
4 people voted
       "
858,Human Acts,Han Kang,4.15,298,"d
4 people voted
       "
859,Fawkes,Nadine Brandes,3.87,298,"d
3 people voted
       "
