,Book_Title,Author,Rating,Score,People_Voted
62,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,4.07,"18,690"," and
209 people voted
  "
63,"Where'd You Go, Bernadette",Maria Semple,3.90,"18,465"," and
197 people voted
  "
64,A Man Called Ove,Fredrik Backman,4.36,"18,362"," and
195 people voted
  "
65,Before I Fall,Lauren Oliver,3.91,"18,319"," and
199 people voted
  "
66,"Fall of Giants (The Century Trilogy, #1)",Ken Follett,4.28,"18,015"," and
188 people voted
  "
67,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.36,"17,628"," and
196 people voted
  "
68,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.06,"17,555"," and
194 people voted
  "
69,"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,4.08,"17,405"," and
193 people voted
  "
70,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,3.86,"17,333"," and
186 people voted
  "
71,"Inferno (Robert Langdon, #4)",Dan Brown,3.84,"17,308"," and
187 people voted
  "
72,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,4.76,"17,296"," and
178 people voted
  "
73,Between Shades of Gray,Ruta Sepetys,4.37,"17,105"," and
180 people voted
  "
74,Station Eleven,Emily St. John Mandel,4.03,"16,318"," and
173 people voted
  "
75,The Casual Vacancy,J.K. Rowling,3.29,"16,165"," and
171 people voted
  "
76,"A Discovery of Witches (All Souls Trilogy, #1)",Deborah Harkness,eall,"16,004"," and
171 people voted
  "
77,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,4.07,"15,008"," and
162 people voted
  "
78,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.50,"14,249"," and
162 people voted
  "
79,A Visit from the Goon Squad,Jennifer Egan,3.66,"14,179"," and
148 people voted
  "
80,Before I Go to Sleep,S.J. Watson,3.89,"14,031"," and
150 people voted
  "
81,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.11,"13,829"," and
148 people voted
  "
82,"The Throne of Fire (The Kane Chronicles, #2)",Rick Riordan,4.21,"13,530"," and
153 people voted
  "
83,The Sense of an Ending,Julian Barnes,3.72,"13,262"," and
139 people voted
  "
84,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,4.06,"12,592"," and
141 people voted
  "
85,"Bring Up the Bodies (Thomas Cromwell, #2)",Hilary Mantel,4.27,"11,666"," and
124 people voted
  "
86,"Bloodlines (Bloodlines, #1)",Richelle Mead,4.21,"11,638"," and
133 people voted
  "
87,"The Iron King (The Iron Fey, #1)",Julie Kagawa,3.91,"11,614"," and
131 people voted
  "
88,"The Passage (The Passage, #1)",Justin Cronin,4.04,"11,233"," and
118 people voted
  "
89,Go the F**k to Sleep,Adam Mansbach,4.26,"10,725"," and
116 people voted
  "
90,Americanah,Chimamanda Ngozi Adichie,4.30,"10,635"," and
109 people voted
  "
91,Silence,Becca Fitzpatrick,4.14,"10,588"," and
120 people voted
  "
92,"Pandemonium (Delirium, #2)",Lauren Oliver,4.05,"10,402"," and
119 people voted
  "
93,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,4.58,"10,096"," and
116 people voted
  "
94,The Art of Fielding,Chad Harbach,3.99,"9,765","and
102 people voted
   "
95,"Across the Universe (Across the Universe, #1)",Beth Revis,3.77,"9,497","and
107 people voted
   "
96,State of Wonder,Ann Patchett,3.87,"9,468","and
101 people voted
   "
97,Winter of the World (The Century Trilogy #2),Ken Follett,4.32,"9,285","and
97 people voted
    "
98,Freedom,Jonathan Franzen,3.75,"9,248","and
98 people voted
    "
99,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,3.83,"8,902","and
94 people voted
    "
100,Major Pettigrew's Last Stand,Helen Simonson,3.89,"7,982","and
86 people voted
    "
101,Defending Jacob,William Landay,3.98,"7,926","and
84 people voted
    "
102,"Torment (Fallen, #2)",Lauren Kate,3.88,"7,804","and
89 people voted
    "
103,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,4.03,"7,591","and
87 people voted
    "
104,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,3.99,"7,535","and
83 people voted
    "
105,"Unearthly (Unearthly, #1)",Cynthia Hand,4.03,"7,524","and
85 people voted
    "
106,The Thousand Autumns of Jacob de Zoet,David Mitchell,4.03,"7,431","and
76 people voted
    "
107,The Song of Achilles,Madeline Miller,4.33,"7,148","and
77 people voted
    "
108,A Little Life,Hanya Yanagihara,4.30,"7,030","and
74 people voted
    "
109,"Red Queen (Red Queen, #1)",Victoria Aveyard,4.06,"6,759","and
80 people voted
    "
110,"Hex Hall (Hex Hall, #1)",Rachel Hawkins,3.95,"6,753","and
76 people voted
    "
111,"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",Rachel Joyce,3.91,"6,706","and
74 people voted
    "
112,"Red Rising (Red Rising, #1)",Pierce Brown,4.27,"6,700","and
73 people voted
    "
113,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.67,"6,675","and
76 people voted
    "
114,"The Elite (The Selection, #2)",Kiera Cass,4.02,"6,556","and
80 people voted
    "
115,The Orphan Master's Son,Adam Johnson,4.07,"6,482","and
61 people voted
    "
116,"The One (The Selection, #3)",Kiera Cass,4.20,"6,218","and
77 people voted
    "
117,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,"5,914","and
66 people voted
    "
118,The Invention of Wings,Sue Monk Kidd,4.24,"5,868","and
65 people voted
    "
119,Big Little Lies,Liane Moriarty,4.26,"5,832","and
67 people voted
    "
120,"Champion (Legend, #3)",Marie Lu,4.36,"5,793","and
70 people voted
    "
121,The Snow Child,Eowyn Ivey,3.97,"5,786","and
62 people voted
    "
122,"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,4.44,"5,683","and
71 people voted
    "
123,Burial Rites,Hannah Kent,4.02,"5,629","and
61 people voted
    "
124,"Obsidian (Lux, #1)",Jennifer L. Armentrout,4.21,"5,469","and
62 people voted
    "
125,"Prodigy (Legend, #2)",Marie Lu,4.28,"5,402","and
67 people voted
    "
126,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,4.10,"5,400","and
62 people voted
    "
127,Between the World and Me,Ta-Nehisi Coates,4.40,"5,319","and
60 people voted
    "
128,"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,4.11,"5,218","and
58 people voted
    "
129,The Husband's Secret,Liane Moriarty,3.94,"5,201","and
59 people voted
    "
130,"Passion (Fallen, #3)",Lauren Kate,3.89,"5,089","and
57 people voted
    "
131,"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,4.04,"5,062","and
57 people voted
    "
132,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.18,"5,021","and
55 people voted
    "
133,"Saga, Vol. 1",Brian K. Vaughan,4.21,"4,996","and
55 people voted
    "
134,A Monster Calls,Patrick Ness,4.37,"4,913","and
55 people voted
    "
135,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.35,"4,879","and
53 people voted
    "
136,A Tale for the Time Being,Ruth Ozeki,eall,"4,851","and
52 people voted
    "
137,"Thinking, Fast and Slow",Daniel Kahneman,4.13,"4,850","and
52 people voted
    "
138,Uprooted,Naomi Novik,4.10,"4,847","and
54 people voted
    "
139,"Doctor Sleep (The Shining, #2)",Stephen King,4.10,"4,822","and
54 people voted
    "
140,The Paris Wife,Paula McLain,3.81,"4,776","and
56 people voted
    "
141,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.67,"4,748","and
56 people voted
    "
142,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,4.45,"4,665","and
58 people voted
    "
143,"The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,3.83,"4,632","and
51 people voted
    "
144,"The Short Second Life of Bree Tanner (Twilight, #3.5)",Stephenie Meyer,3.50,"4,591","and
52 people voted
    "
145,"The Reckoning (Darkest Powers, #3)",Kelley Armstrong,4.21,"4,579","and
51 people voted
    "
146,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,4.26,"4,488","and
56 people voted
    "
147,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.85,"4,477","and
51 people voted
    "
148,"Will Grayson, Will Grayson",John Green,3.80,"4,465","and
51 people voted
    "
149,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",Veronica Roth,4.16,"4,424","and
50 people voted
    "
150,House Rules,Jodi Picoult,4.02,"4,364","and
48 people voted
    "
151,Is Everyone Hanging Out Without Me?,Mindy Kaling,3.85,"4,286","and
49 people voted
    "
152,"Hollow City (Miss Peregrine’s Peculiar Children, #2)",Ransom Riggs,4.07,"4,276","and
52 people voted
    "
153,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,4.20,"4,257","and
51 people voted
    "
154,The Storied Life of A.J. Fikry,Gabrielle Zevin,3.99,"4,183","and
49 people voted
    "
155,Orphan Train,Christina Baker Kline,4.16,"4,176","and
49 people voted
    "
156,"The Girl With All the Gifts (The Girl With All the Gifts, #1)",M.R. Carey,3.94,"4,114","and
46 people voted
    "
157,"The Serpent's Shadow (The Kane Chronicles, #3)",Rick Riordan,4.29,"4,108","and
51 people voted
    "
158,Just Kids,Patti Smith,4.14,"4,086","and
44 people voted
    "
159,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.12,"4,085","and
48 people voted
    "
160,"Golden Son (Red Rising, #2)",Pierce Brown,4.45,"4,067","and
47 people voted
    "
161,The Bone Clocks,David Mitchell,3.83,"4,024","and
44 people voted
    "
162,"Go Set a Watchman (To Kill a Mockingbird, #2)",Harper Lee,3.31,"3,998","and
45 people voted
    "
163,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.86,"3,984","and
46 people voted
    "
164,"Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)",Seth Grahame-Smith,3.70,"3,957","and
43 people voted
    "
165,"Wool Omnibus (Silo, #1)",Hugh Howey,4.24,"3,912","and
43 people voted
    "
166,"Carry On (Simon Snow, #1)",Rainbow Rowell,4.23,"3,841","and
45 people voted
    "
167,"The Weed That Strings the Hangman's Bag (Flavia de Luce, #2)",Alan Bradley,3.99,"3,784","and
39 people voted
    "
168,The Sisters Brothers,Patrick deWitt,3.85,"3,779","and
42 people voted
    "
169,"The Scorch Trials (The Maze Runner, #2)",James Dashner,3.92,"3,776","and
49 people voted
    "
170,Tenth of December,George Saunders,3.98,"3,713","and
33 people voted
    "
171,The Invisible Game: The Mindset of a Winning Team,Zoltan Andrejkovics,4.46,"3,700","and
37 people voted
    "
172,"Burned (House of Night, #7)",P.C. Cast,3.98,"3,613","and
40 people voted
    "
173,The Sky Is Everywhere,Jandy Nelson,4.01,"3,542","and
40 people voted
    "
174,Horns,Joe Hill,3.92,"3,535","and
39 people voted
    "
175,"Where She Went (If I Stay, #2)",Gayle Forman,4.03,"3,519","and
45 people voted
    "
176,The Round House,Louise Erdrich,3.93,"3,456","and
39 people voted
    "
177,The Marriage Plot,Jeffrey Eugenides,3.44,"3,427","and
37 people voted
    "
178,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,3.94,"3,393","and
42 people voted
    "
179,The Dovekeepers,Alice Hoffman,4.04,"3,383","and
38 people voted
    "
180,"Crossed (Matched, #2)",Ally Condie,3.52,"3,350","and
43 people voted
    "
181,The Hare With Amber Eyes: A Family's Century of Art and Loss,Edmund de Waal,3.86,"3,337","and
36 people voted
    "
182,The Underground Railroad,Colson Whitehead,4.02,"3,278","and
38 people voted
    "
183,We Are All Completely Beside Ourselves,Karen Joy Fowler,3.72,"3,270","and
35 people voted
    "
184,The Ocean at the End of the Lane,Neil Gaiman,eall,"3,241","and
38 people voted
    "
185,"Bitterblue (Graceling Realm, #3)",Kristin Cashore,4.01,"3,180","and
38 people voted
    "
186,"The Death Cure (The Maze Runner, #3)",James Dashner,3.77,"3,174","and
42 people voted
    "
187,"Angelfall (Penryn & the End of Days, #1)",Susan Ee,4.16,"3,083","and
37 people voted
    "
188,Tell the Wolves I'm Home,Carol Rifka Brunt,4.04,"3,073","and
35 people voted
    "
189,"MaddAddam (MaddAddam, #3)",Margaret Atwood,eall,"3,066","and
34 people voted
    "
190,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,3.84,"3,062","and
34 people voted
    "
191,Night Film,Marisha Pessl,3.78,"3,037","and
34 people voted
    "
192,"Steelheart (The Reckoners, #1)",Brandon Sanderson,4.16,"3,021","and
34 people voted
    "
193,Beautiful Ruins,Jess Walter,3.68,"3,009","and
34 people voted
    "
194,Di undici foglie,Dino Olivieri,4.62,"3,000","and
30 people voted
    "
195,The Distant Hours,Kate Morton,3.88,"2,994","and
32 people voted
    "
196,"Requiem (Delirium, #3)",Lauren Oliver,3.75,"2,952","and
38 people voted
    "
197,"The Indigo Spell (Bloodlines, #3)",Richelle Mead,4.39,"2,916","and
38 people voted
    "
198,My Brilliant Friend (L'amica geniale #1),Elena Ferrante,3.93,"2,884","and
32 people voted
    "
199,Left Neglected,Lisa Genova,3.97,"2,881","and
31 people voted
    "
200,"Starcrossed (Starcrossed, #1)",Josephine Angelini,4.07,"2,813","and
32 people voted
    "
201,At Home: A Short History of Private Life,Bill Bryson,3.97,"2,813","and
31 people voted
    "
202,"Winter (The Lunar Chronicles, #4)",Marissa Meyer,4.47,"2,798","and
36 people voted
    "
203,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,4.57,"2,784","and
34 people voted
    "
