movie,year,income,variable,value
American Reunion,2012,57.01,Last genre,
Escape from Planet Earth,2013,57.01,First genre,Animation
Escape from Planet Earth,2013,57.01,Second genre, Adventure
Escape from Planet Earth,2013,57.01,Last genre,Comedy
Midnight in Paris,2011,56.82,First genre,Comedy
Midnight in Paris,2011,56.82,Second genre, Fantasy
Midnight in Paris,2011,56.82,Last genre,Romance
12 Years a Slave,2013,56.67,First genre,Biography
12 Years a Slave,2013,56.67,Second genre, Drama
12 Years a Slave,2013,56.67,Last genre,History
Joy,2015,56.45,First genre,Drama
Joy,2015,56.45,Second genre,
Joy,2015,56.45,Last genre,
Darkest Hour,2017,56.44,First genre,Biography
Darkest Hour,2017,56.44,Second genre, Drama
Darkest Hour,2017,56.44,Last genre,History
Dracula Untold,2014,56.28,First genre,Action
Dracula Untold,2014,56.28,Second genre, Drama
Dracula Untold,2014,56.28,Last genre,Fantasy
Me Before You,2016,56.25,First genre,Drama
Me Before You,2016,56.25,Second genre, Romance            
Me Before You,2016,56.25,Last genre,
Fantastic Four,2015,56.12,First genre,Action
Fantastic Four,2015,56.12,Second genre, Adventure
Fantastic Four,2015,56.12,Last genre,Drama
ParaNorman,2012,56.0,First genre,Animation
ParaNorman,2012,56.0,Second genre, Adventure
ParaNorman,2012,56.0,Last genre,Comedy
Friends with Benefits,2011,55.8,First genre,Comedy
Friends with Benefits,2011,55.8,Second genre, Romance            
Friends with Benefits,2011,55.8,Last genre,
Free Birds,2013,55.75,First genre,Animation
Free Birds,2013,55.75,Second genre, Adventure
Free Birds,2013,55.75,Last genre,Comedy
Hansel & Gretel: Witch Hunters,2013,55.7,First genre,Action
Hansel & Gretel: Witch Hunters,2013,55.7,Second genre, Fantasy
Hansel & Gretel: Witch Hunters,2013,55.7,Last genre,Horror
Legend of the Guardians: The Owls of Ga'Hoole,2010,55.68,First genre,Animation
Legend of the Guardians: The Owls of Ga'Hoole,2010,55.68,Second genre, Action
Legend of the Guardians: The Owls of Ga'Hoole,2010,55.68,Last genre,Adventure
Happy Death Day,2017,55.68,First genre,Horror
Happy Death Day,2017,55.68,Second genre, Mystery
Happy Death Day,2017,55.68,Last genre,Thriller
The BFG,2016,55.48,First genre,Adventure
The BFG,2016,55.48,Second genre, Family
The BFG,2016,55.48,Last genre,Fantasy
Neighbors 2: Sorority Rising,2016,55.29,First genre,Comedy
Neighbors 2: Sorority Rising,2016,55.29,Second genre,
Neighbors 2: Sorority Rising,2016,55.29,Last genre,
The Shallows,2016,55.12,First genre,Drama
The Shallows,2016,55.12,Second genre, Horror
The Shallows,2016,55.12,Last genre,Thriller
I Am Number Four,2011,55.1,First genre,Action
I Am Number Four,2011,55.1,Second genre, Adventure
I Am Number Four,2011,55.1,Last genre,Sci-Fi
The Nutcracker and the Four Realms,2018,54.86,First genre,Adventure
The Nutcracker and the Four Realms,2018,54.86,Second genre, Family
The Nutcracker and the Four Realms,2018,54.86,Last genre,Fantasy
This Means War,2012,54.76,First genre,Action
This Means War,2012,54.76,Second genre, Comedy
This Means War,2012,54.76,Last genre,Romance
Office Christmas Party,2016,54.73,First genre,Comedy
Office Christmas Party,2016,54.73,Second genre,
Office Christmas Party,2016,54.73,Last genre,
The Curse of La Llorona,2019,54.73,First genre,Horror
The Curse of La Llorona,2019,54.73,Second genre, Mystery
The Curse of La Llorona,2019,54.73,Last genre,Thriller
Project X,2012,54.73,First genre,Comedy
Project X,2012,54.73,Second genre,
Project X,2012,54.73,Last genre,
Pet Sematary,2019,54.72,First genre,Horror
Pet Sematary,2019,54.72,Second genre, Mystery
Pet Sematary,2019,54.72,Last genre,Thriller
Source Code,2011,54.71,First genre,Action
Source Code,2011,54.71,Second genre, Drama
Source Code,2011,54.71,Last genre,Sci-Fi
Assassin's Creed,2016,54.65,First genre,Action
Assassin's Creed,2016,54.65,Second genre, Adventure
Assassin's Creed,2016,54.65,Last genre,Sci-Fi
What Men Want,2019,54.61,First genre,Comedy
What Men Want,2019,54.61,Second genre, Fantasy
What Men Want,2019,54.61,Last genre,Romance
Tag,2018,54.55,First genre,Comedy
Tag,2018,54.55,Second genre,
Tag,2018,54.55,Last genre,
New Year's Eve,2011,54.54,First genre,Comedy
New Year's Eve,2011,54.54,Second genre, Romance            
New Year's Eve,2011,54.54,Last genre,
"Three Billboards Outside Ebbing, Missouri",2017,54.51,First genre,Crime
"Three Billboards Outside Ebbing, Missouri",2017,54.51,Second genre, Drama            
"Three Billboards Outside Ebbing, Missouri",2017,54.51,Last genre,
Horrible Bosses 2,2014,54.45,First genre,Comedy
Horrible Bosses 2,2014,54.45,Second genre, Crime            
Horrible Bosses 2,2014,54.45,Last genre,
The Woman in Black,2012,54.33,First genre,Drama
The Woman in Black,2012,54.33,Second genre, Fantasy
The Woman in Black,2012,54.33,Last genre,Horror
The Hundred-Foot Journey,2014,54.24,First genre,Comedy
The Hundred-Foot Journey,2014,54.24,Second genre, Drama            
The Hundred-Foot Journey,2014,54.24,Last genre,
Evil Dead,2013,54.24,First genre,Fantasy
Evil Dead,2013,54.24,Second genre, Horror
Evil Dead,2013,54.24,Last genre,Thriller
The Hateful Eight,2015,54.12,First genre,Crime
The Hateful Eight,2015,54.12,Second genre, Drama
The Hateful Eight,2015,54.12,Last genre,Mystery
Barbershop: The Next Cut,2016,54.03,First genre,Comedy
Barbershop: The Next Cut,2016,54.03,Second genre, Drama            
Barbershop: The Next Cut,2016,54.03,Last genre,
Insidious,2010,54.01,First genre,Horror
Insidious,2010,54.01,Second genre, Mystery
Insidious,2010,54.01,Last genre,Thriller
Paranormal Activity 4,2012,53.92,First genre,Horror
Paranormal Activity 4,2012,53.92,Second genre, Mystery
Paranormal Activity 4,2012,53.92,Last genre,Thriller
Focus,2015,53.86,First genre,Comedy
Focus,2015,53.86,Second genre, Crime
Focus,2015,53.86,Last genre,Drama
A Simple Favor,2018,53.54,First genre,Comedy
A Simple Favor,2018,53.54,Second genre, Crime
A Simple Favor,2018,53.54,Last genre,Drama
Life as We Know It,2010,53.37,First genre,Comedy
Life as We Know It,2010,53.37,Second genre, Drama
Life as We Know It,2010,53.37,Last genre,Romance
Madea's Big Happy Family,2011,53.35,First genre,Comedy
Madea's Big Happy Family,2011,53.35,Second genre, Drama            
Madea's Big Happy Family,2011,53.35,Last genre,
RED 2,2013,53.26,First genre,Action
RED 2,2013,53.26,Second genre, Comedy
RED 2,2013,53.26,Last genre,Crime
The Devil Inside,2012,53.26,First genre,Horror
The Devil Inside,2012,53.26,Second genre,
The Devil Inside,2012,53.26,Last genre,
Letters to Juliet,2010,53.03,First genre,Adventure
Letters to Juliet,2010,53.03,Second genre, Comedy
Letters to Juliet,2010,53.03,Last genre,Drama
Life of the Party,2018,52.86,First genre,Comedy
Life of the Party,2018,52.86,Second genre,
Life of the Party,2018,52.86,Last genre,
13 Hours,2016,52.85,First genre,Action
13 Hours,2016,52.85,Second genre, Drama
13 Hours,2016,52.85,Last genre,History
Diary of a Wimpy Kid: Rodrick Rules,2011,52.7,First genre,Comedy
Diary of a Wimpy Kid: Rodrick Rules,2011,52.7,Second genre, Family            
Diary of a Wimpy Kid: Rodrick Rules,2011,52.7,Last genre,
No Good Deed,2014,52.54,First genre,Action
No Good Deed,2014,52.54,Second genre, Crime
No Good Deed,2014,52.54,Last genre,Drama
Wall Street: Money Never Sleeps,2010,52.47,First genre,Drama
Wall Street: Money Never Sleeps,2010,52.47,Second genre,
Wall Street: Money Never Sleeps,2010,52.47,Last genre,
Hubble 3D,2010,52.45,First genre,Documentary
Hubble 3D,2010,52.45,Second genre,
Hubble 3D,2010,52.45,Last genre,
A Madea Christmas,2013,52.44,First genre,Comedy
A Madea Christmas,2013,52.44,Second genre, Drama
A Madea Christmas,2013,52.44,Last genre,Romance
Southpaw,2015,52.42,First genre,Drama
Southpaw,2015,52.42,Second genre, Sport            
Southpaw,2015,52.42,Last genre,
Insidious: Chapter 3,2015,52.22,First genre,Horror
Insidious: Chapter 3,2015,52.22,Second genre, Mystery
Insidious: Chapter 3,2015,52.22,Last genre,Thriller
Selma,2014,52.08,First genre,Biography
Selma,2014,52.08,Second genre, Drama
Selma,2014,52.08,Last genre,History
Predators,2010,52.0,First genre,Action
Predators,2010,52.0,Second genre, Adventure
Predators,2010,52.0,Last genre,Sci-Fi
Temptation: Confessions of a Marriage Counselor,2013,51.98,First genre,Drama
Temptation: Confessions of a Marriage Counselor,2013,51.98,Second genre, Thriller            
Temptation: Confessions of a Marriage Counselor,2013,51.98,Last genre,
The Call,2013,51.87,First genre,Crime
The Call,2013,51.87,Second genre, Drama
The Call,2013,51.87,Last genre,Horror
The Odd Life of Timothy Green,2012,51.85,First genre,Comedy
The Odd Life of Timothy Green,2012,51.85,Second genre, Drama
The Odd Life of Timothy Green,2012,51.85,Last genre,Family
Footloose,2011,51.8,First genre,Comedy
Footloose,2011,51.8,Second genre, Drama
Footloose,2011,51.8,Last genre,Music
Ghost Rider: Spirit of Vengeance,2011,51.77,First genre,Action
Ghost Rider: Spirit of Vengeance,2011,51.77,Second genre, Fantasy
Ghost Rider: Spirit of Vengeance,2011,51.77,Last genre,Thriller
Lion,2016,51.74,First genre,Biography
Lion,2016,51.74,Second genre, Drama            
Lion,2016,51.74,Last genre,
The Grey,2011,51.58,First genre,Action
The Grey,2011,51.58,Second genre, Adventure
The Grey,2011,51.58,Last genre,Drama
Atomic Blonde,2017,51.57,First genre,Action
Atomic Blonde,2017,51.57,Second genre, Mystery
Atomic Blonde,2017,51.57,Last genre,Thriller
American Made,2017,51.34,First genre,Action
American Made,2017,51.34,Second genre, Biography
American Made,2017,51.34,Last genre,Comedy
Muppets Most Wanted,2014,51.18,First genre,Adventure
Muppets Most Wanted,2014,51.18,Second genre, Comedy
Muppets Most Wanted,2014,51.18,Last genre,Crime
The Predator,2018,51.02,First genre,Action
The Predator,2018,51.02,Second genre, Adventure
The Predator,2018,51.02,Last genre,Sci-Fi
Ouija,2014,50.86,First genre,Horror
Ouija,2014,50.86,Second genre, Mystery
Ouija,2014,50.86,Last genre,Thriller
The Boxtrolls,2014,50.84,First genre,Animation
The Boxtrolls,2014,50.84,Second genre, Adventure
The Boxtrolls,2014,50.84,Last genre,Comedy
The Dark Tower,2017,50.7,First genre,Action
The Dark Tower,2017,50.7,Second genre, Adventure
The Dark Tower,2017,50.7,Last genre,Fantasy
Jack Ryan: Shadow Recruit,2014,50.58,First genre,Action
Jack Ryan: Shadow Recruit,2014,50.58,Second genre, Drama
Jack Ryan: Shadow Recruit,2014,50.58,Last genre,Thriller
If I Stay,2014,50.47,First genre,Drama
If I Stay,2014,50.47,Second genre, Fantasy
If I Stay,2014,50.47,Last genre,Music
Overboard,2018,50.32,First genre,Comedy
Overboard,2018,50.32,Second genre, Romance            
Overboard,2018,50.32,Last genre,
Hot Tub Time Machine,2010,50.29,First genre,Comedy
Hot Tub Time Machine,2010,50.29,Second genre, Sci-Fi            
Hot Tub Time Machine,2010,50.29,Last genre,
The Book of Life,2014,50.15,First genre,Animation
The Book of Life,2014,50.15,Second genre, Adventure
The Book of Life,2014,50.15,Last genre,Comedy
Sicario: Day of the Soldado,2018,50.07,First genre,Action
Sicario: Day of the Soldado,2018,50.07,Second genre, Crime
Sicario: Day of the Soldado,2018,50.07,Last genre,Drama
Pain & Gain,2013,49.88,First genre,Action
Pain & Gain,2013,49.88,Second genre, Comedy
Pain & Gain,2013,49.88,Last genre,Crime
Red Tails,2012,49.88,First genre,Action
Red Tails,2012,49.88,Second genre, Adventure
Red Tails,2012,49.88,Last genre,Drama
The Possession,2012,49.13,First genre,Horror
The Possession,2012,49.13,Second genre, Mystery
The Possession,2012,49.13,Last genre,Thriller
Diary of a Wimpy Kid: Dog Days,2012,49.01,First genre,Comedy
Diary of a Wimpy Kid: Dog Days,2012,49.01,Second genre, Family            
Diary of a Wimpy Kid: Dog Days,2012,49.01,Last genre,
Lady Bird,2017,48.96,First genre,Comedy
Lady Bird,2017,48.96,Second genre, Drama            
Lady Bird,2017,48.96,Last genre,
I Feel Pretty,2018,48.8,First genre,Comedy
I Feel Pretty,2018,48.8,Second genre, Romance            
I Feel Pretty,2018,48.8,Last genre,
Isn't It Romantic,2019,48.79,First genre,Comedy
Isn't It Romantic,2019,48.79,Second genre, Fantasy
Isn't It Romantic,2019,48.79,Last genre,Romance
BlacKkKlansman,2018,48.69,First genre,Biography
BlacKkKlansman,2018,48.69,Second genre, Crime
BlacKkKlansman,2018,48.69,Last genre,Drama
About Last Night,2014,48.64,First genre,Comedy
About Last Night,2014,48.64,Second genre, Romance            
About Last Night,2014,48.64,Last genre,
The Dilemma,2011,48.48,First genre,Comedy
The Dilemma,2011,48.48,Second genre, Drama            
The Dilemma,2011,48.48,Last genre,
The Huntsman: Winter's War,2016,48.39,First genre,Action
The Huntsman: Winter's War,2016,48.39,Second genre, Adventure
The Huntsman: Winter's War,2016,48.39,Last genre,Drama
Sinister,2012,48.09,First genre,Horror
Sinister,2012,48.09,Second genre, Mystery
Sinister,2012,48.09,Last genre,Thriller
Kick-Ass,2010,48.07,First genre,Action
Kick-Ass,2010,48.07,Second genre, Adventure
Kick-Ass,2010,48.07,Last genre,Comedy
Kubo and the Two Strings,2016,48.02,First genre,Animation
Kubo and the Two Strings,2016,48.02,Second genre, Action
Kubo and the Two Strings,2016,48.02,Last genre,Adventure
Vice,2018,47.84,First genre,Biography
Vice,2018,47.84,Second genre, Comedy
Vice,2018,47.84,Last genre,Drama
Manchester by the Sea,2016,47.7,First genre,Drama
Manchester by the Sea,2016,47.7,Second genre,
Manchester by the Sea,2016,47.7,Last genre,
Into the Storm,2014,47.6,First genre,Action
Into the Storm,2014,47.6,Second genre, Adventure
Into the Storm,2014,47.6,Last genre,Drama
Poltergeist,2015,47.43,First genre,Horror
Poltergeist,2015,47.43,Second genre, Thriller            
Poltergeist,2015,47.43,Last genre,
Jupiter Ascending,2015,47.39,First genre,Action
Jupiter Ascending,2015,47.39,Second genre, Adventure
Jupiter Ascending,2015,47.39,Last genre,Sci-Fi
Savages,2012,47.38,First genre,Crime
Savages,2012,47.38,Second genre, Drama
Savages,2012,47.38,Last genre,Thriller
Warcraft,2016,47.37,First genre,Action
Warcraft,2016,47.37,Second genre, Adventure
Warcraft,2016,47.37,Last genre,Fantasy
Tyler Perry's Boo 2! A Madea Halloween,2017,47.32,First genre,Comedy
Tyler Perry's Boo 2! A Madea Halloween,2017,47.32,Second genre, Drama
Tyler Perry's Boo 2! A Madea Halloween,2017,47.32,Last genre,Horror
The Judge,2014,47.12,First genre,Crime
The Judge,2014,47.12,Second genre, Drama            
The Judge,2014,47.12,Last genre,
Killers,2010,47.06,First genre,Action
Killers,2010,47.06,Second genre, Comedy
Killers,2010,47.06,Last genre,Romance
Jersey Boys,2014,47.03,First genre,Biography
Jersey Boys,2014,47.03,Second genre, Drama
Jersey Boys,2014,47.03,Last genre,Music
Sicario,2015,46.89,First genre,Action
Sicario,2015,46.89,Second genre, Crime
Sicario,2015,46.89,Last genre,Drama
Red Sparrow,2018,46.87,First genre,Action
Red Sparrow,2018,46.87,Second genre, Drama
Red Sparrow,2018,46.87,Last genre,Thriller
How to Be Single,2016,46.81,First genre,Comedy
How to Be Single,2016,46.81,Second genre, Drama
How to Be Single,2016,46.81,Last genre,Romance
Goosebumps 2: Haunted Halloween,2018,46.7,First genre,Adventure
Goosebumps 2: Haunted Halloween,2018,46.7,Second genre, Comedy
Goosebumps 2: Haunted Halloween,2018,46.7,Last genre,Family
Arthur Christmas,2011,46.46,First genre,Animation
Arthur Christmas,2011,46.46,Second genre, Adventure
Arthur Christmas,2011,46.46,Last genre,Comedy
The Best Exotic Marigold Hotel,2011,46.41,First genre,Comedy
The Best Exotic Marigold Hotel,2011,46.41,Second genre, Drama
The Best Exotic Marigold Hotel,2011,46.41,Last genre,Romance
Breaking In,2018,46.38,First genre,Action
Breaking In,2018,46.38,Second genre, Crime
Breaking In,2018,46.38,Last genre,Drama
Blended,2014,46.29,First genre,Comedy
Blended,2014,46.29,Second genre, Romance            
Blended,2014,46.29,Last genre,
Mike and Dave Need Wedding Dates,2016,46.01,First genre,Adventure
Mike and Dave Need Wedding Dates,2016,46.01,Second genre, Comedy
Mike and Dave Need Wedding Dates,2016,46.01,Last genre,Romance
Gangster Squad,2013,46.0,First genre,Action
Gangster Squad,2013,46.0,Second genre, Crime
Gangster Squad,2013,46.0,Last genre,Drama
Snatched,2017,45.83,First genre,Action
Snatched,2017,45.83,Second genre, Adventure
Snatched,2017,45.83,Last genre,Comedy
Five Feet Apart,2019,45.73,First genre,Drama
Five Feet Apart,2019,45.73,Second genre, Romance            
Five Feet Apart,2019,45.73,Last genre,
Saw 3D,2010,45.71,First genre,Horror
Saw 3D,2010,45.71,Second genre, Mystery            
Saw 3D,2010,45.71,Last genre,
The Great Wall,2016,45.54,First genre,Action
The Great Wall,2016,45.54,Second genre, Adventure
The Great Wall,2016,45.54,Last genre,Fantasy
Moonrise Kingdom,2012,45.51,First genre,Adventure
Moonrise Kingdom,2012,45.51,Second genre, Comedy
Moonrise Kingdom,2012,45.51,Last genre,Drama
12 Strong,2018,45.5,First genre,Action
12 Strong,2018,45.5,Second genre, Drama
12 Strong,2018,45.5,Last genre,History
The Man from U.N.C.L.E.,2015,45.45,First genre,Action
The Man from U.N.C.L.E.,2015,45.45,Second genre, Adventure
The Man from U.N.C.L.E.,2015,45.45,Last genre,Comedy
Ma,2019,45.37,First genre,Horror
Ma,2019,45.37,Second genre, Thriller            
Ma,2019,45.37,Last genre,
Here Comes the Boom,2012,45.29,First genre,Action
Here Comes the Boom,2012,45.29,Second genre, Comedy
Here Comes the Boom,2012,45.29,Last genre,Sport
Wonder Park,2019,45.22,First genre,Animation
Wonder Park,2019,45.22,Second genre, Adventure
Wonder Park,2019,45.22,Last genre,Comedy
The Giver,2014,45.09,First genre,Drama
The Giver,2014,45.09,Second genre, Romance
The Giver,2014,45.09,Last genre,Sci-Fi
Hall Pass,2011,45.06,First genre,Comedy
Hall Pass,2011,45.06,Second genre, Romance            
Hall Pass,2011,45.06,Last genre,
Spotlight,2015,45.06,First genre,Biography
Spotlight,2015,45.06,Second genre, Crime
Spotlight,2015,45.06,Last genre,Drama
Smurfs: The Lost Village,2017,45.02,First genre,Animation
Smurfs: The Lost Village,2017,45.02,Second genre, Adventure
Smurfs: The Lost Village,2017,45.02,Last genre,Comedy
Going in Style,2017,45.0,First genre,Comedy
Going in Style,2017,45.0,Second genre, Crime            
Going in Style,2017,45.0,Last genre,
Den of Thieves,2018,44.95,First genre,Action
Den of Thieves,2018,44.95,Second genre, Crime
Den of Thieves,2018,44.95,Last genre,Drama
First Man,2018,44.94,First genre,Biography
First Man,2018,44.94,Second genre, Drama
First Man,2018,44.94,Last genre,History
All Eyez on Me,2017,44.92,First genre,Biography
All Eyez on Me,2017,44.92,Second genre, Drama
All Eyez on Me,2017,44.92,Last genre,Music
xXx: Return of Xander Cage,2017,44.9,First genre,Action
xXx: Return of Xander Cage,2017,44.9,Second genre, Adventure
xXx: Return of Xander Cage,2017,44.9,Last genre,Thriller
Cop Out,2010,44.88,First genre,Action
Cop Out,2010,44.88,Second genre, Comedy
Cop Out,2010,44.88,Last genre,Crime
Red Dawn,2012,44.81,First genre,Action
Red Dawn,2012,44.81,Second genre, Sci-Fi
Red Dawn,2012,44.81,Last genre,Thriller
The Internship,2013,44.67,First genre,Comedy
The Internship,2013,44.67,Second genre,
The Internship,2013,44.67,Last genre,
The Artist,2011,44.67,First genre,Comedy
The Artist,2011,44.67,Second genre, Drama
The Artist,2011,44.67,Last genre,Romance
"McFarland, USA",2015,44.47,First genre,Biography
"McFarland, USA",2015,44.47,Second genre, Drama
"McFarland, USA",2015,44.47,Last genre,Sport
No se aceptan devoluciones,2013,44.47,First genre,Comedy
No se aceptan devoluciones,2013,44.47,Second genre, Drama            
No se aceptan devoluciones,2013,44.47,Last genre,
The Three Stooges,2012,44.34,First genre,Comedy
The Three Stooges,2012,44.34,Second genre, Family            
The Three Stooges,2012,44.34,Last genre,
47 Meters Down,2017,44.31,First genre,Adventure
47 Meters Down,2017,44.31,Second genre, Drama
47 Meters Down,2017,44.31,Last genre,Horror
St. Vincent,2014,44.13,First genre,Comedy
St. Vincent,2014,44.13,Second genre, Drama            
St. Vincent,2014,44.13,Last genre,
Hereditary,2018,44.07,First genre,Drama
Hereditary,2018,44.07,Second genre, Horror
Hereditary,2018,44.07,Last genre,Mystery
Soul Surfer,2011,43.85,First genre,Biography
Soul Surfer,2011,43.85,Second genre, Drama
Soul Surfer,2011,43.85,Last genre,Family
The Gift,2015,43.77,First genre,Drama
The Gift,2015,43.77,Second genre, Mystery
The Gift,2015,43.77,Last genre,Thriller
Cats & Dogs: The Revenge of Kitty Galore,2010,43.59,First genre,Action
Cats & Dogs: The Revenge of Kitty Galore,2010,43.59,Second genre, Comedy
Cats & Dogs: The Revenge of Kitty Galore,2010,43.59,Last genre,Family
Need for Speed,2014,43.58,First genre,Action
Need for Speed,2014,43.58,Second genre, Crime
Need for Speed,2014,43.58,Last genre,Thriller
Acrimony,2018,43.55,First genre,Drama
Acrimony,2018,43.55,Second genre, Romance
Acrimony,2018,43.55,Last genre,Thriller
Everest,2015,43.48,First genre,Action
Everest,2015,43.48,Second genre, Adventure
Everest,2015,43.48,Last genre,Biography
Edge of Darkness,2010,43.31,First genre,Crime
Edge of Darkness,2010,43.31,Second genre, Drama
Edge of Darkness,2010,43.31,Last genre,Mystery
Sherlock Gnomes,2018,43.24,First genre,Animation
Sherlock Gnomes,2018,43.24,Second genre, Adventure
Sherlock Gnomes,2018,43.24,Last genre,Comedy
A Million Ways to Die in the West,2014,43.14,First genre,Comedy
A Million Ways to Die in the West,2014,43.14,Second genre, Western            
A Million Ways to Die in the West,2014,43.14,Last genre,
John Wick,2014,43.04,First genre,Action
John Wick,2014,43.04,Second genre, Crime
John Wick,2014,43.04,Last genre,Thriller
The Night Before,2015,43.04,First genre,Adventure
The Night Before,2015,43.04,Second genre, Comedy
The Night Before,2015,43.04,Last genre,Fantasy
War Dogs,2016,43.02,First genre,Comedy
War Dogs,2016,43.02,Second genre, Crime
War Dogs,2016,43.02,Last genre,Drama
Snitch,2013,42.93,First genre,Action
Snitch,2013,42.93,Second genre, Drama
Snitch,2013,42.93,Last genre,Thriller
The Big Sick,2017,42.87,First genre,Comedy
The Big Sick,2017,42.87,Second genre, Drama
The Big Sick,2017,42.87,Last genre,Romance
Gulliver's Travels,2010,42.78,First genre,Adventure
Gulliver's Travels,2010,42.78,Second genre, Comedy
Gulliver's Travels,2010,42.78,Last genre,Family
Death at a Funeral,2010,42.74,First genre,Comedy
Death at a Funeral,2010,42.74,Second genre,
Death at a Funeral,2010,42.74,Last genre,
Max,2015,42.65,First genre,Adventure
Max,2015,42.65,Second genre, Drama
Max,2015,42.65,Last genre,Family
Krampus,2015,42.59,First genre,Comedy
Krampus,2015,42.59,Second genre, Drama
Krampus,2015,42.59,Last genre,Fantasy
Final Destination 5,2011,42.59,First genre,Horror
Final Destination 5,2011,42.59,Second genre,
Final Destination 5,2011,42.59,Last genre,
The Age of Adaline,2015,42.48,First genre,Drama
The Age of Adaline,2015,42.48,Second genre, Fantasy
The Age of Adaline,2015,42.48,Last genre,Romance
Uncle Drew,2018,42.47,First genre,Comedy
Uncle Drew,2018,42.47,Second genre, Sport            
Uncle Drew,2018,42.47,Last genre,
Widows,2018,42.4,First genre,Crime
Widows,2018,42.4,Second genre, Drama
Widows,2018,42.4,Last genre,Thriller
Step Up 3D,2010,42.4,First genre,Drama
Step Up 3D,2010,42.4,Second genre, Music
Step Up 3D,2010,42.4,Last genre,Romance
Resident Evil: Retribution,2012,42.35,First genre,Action
Resident Evil: Retribution,2012,42.35,Second genre, Horror
Resident Evil: Retribution,2012,42.35,Last genre,Sci-Fi
Birdman or (The Unexpected Virtue of Ignorance),2014,42.34,First genre,Comedy
Birdman or (The Unexpected Virtue of Ignorance),2014,42.34,Second genre, Drama            
Birdman or (The Unexpected Virtue of Ignorance),2014,42.34,Last genre,
The Cabin in the Woods,2011,42.07,First genre,Horror
The Cabin in the Woods,2011,42.07,Second genre,
The Cabin in the Woods,2011,42.07,Last genre,
Riddick,2013,42.03,First genre,Action
Riddick,2013,42.03,Second genre, Adventure
Riddick,2013,42.03,Last genre,Sci-Fi
Dolphin Tale 2,2014,42.02,First genre,Drama
Dolphin Tale 2,2014,42.02,Second genre, Family            
Dolphin Tale 2,2014,42.02,Last genre,
A Dog's Way Home,2019,41.95,First genre,Adventure
A Dog's Way Home,2019,41.95,Second genre, Drama
A Dog's Way Home,2019,41.95,Last genre,Family
Almost Christmas,2016,41.72,First genre,Comedy
Almost Christmas,2016,41.72,Second genre, Drama            
Almost Christmas,2016,41.72,Last genre,
Valerian and the City of a Thousand Planets,2017,41.19,First genre,Action
Valerian and the City of a Thousand Planets,2017,41.19,Second genre, Adventure
Valerian and the City of a Thousand Planets,2017,41.19,Last genre,Fantasy
What to Expect When You're Expecting,2012,41.15,First genre,Comedy
What to Expect When You're Expecting,2012,41.15,Second genre, Drama
What to Expect When You're Expecting,2012,41.15,Last genre,Romance
The Last Exorcism,2010,41.03,First genre,Horror
The Last Exorcism,2010,41.03,Second genre, Mystery
The Last Exorcism,2010,41.03,Last genre,Thriller
Money Monster,2016,41.01,First genre,Crime
Money Monster,2016,41.01,Second genre, Drama
Money Monster,2016,41.01,Last genre,Thriller
End of Watch,2012,41.0,First genre,Action
End of Watch,2012,41.0,Second genre, Crime
End of Watch,2012,41.0,Last genre,Drama
The Ides of March,2011,40.96,First genre,Drama
The Ides of March,2011,40.96,Second genre, Thriller            
The Ides of March,2011,40.96,Last genre,
The Star,2017,40.85,First genre,Animation
The Star,2017,40.85,Second genre, Adventure
The Star,2017,40.85,Last genre,Comedy
"Love, Simon",2018,40.83,First genre,Comedy
"Love, Simon",2018,40.83,Second genre, Drama
"Love, Simon",2018,40.83,Last genre,Romance
Truth or Dare,2018,40.72,First genre,Horror
Truth or Dare,2018,40.72,Second genre, Thriller            
Truth or Dare,2018,40.72,Last genre,
Breakthrough,2019,40.71,First genre,Biography
Breakthrough,2019,40.71,Second genre, Drama            
Breakthrough,2019,40.71,Last genre,
Little,2019,40.67,First genre,Comedy
Little,2019,40.67,Second genre, Fantasy
Little,2019,40.67,Last genre,Romance
Ghost in the Shell,2017,40.53,First genre,Action
Ghost in the Shell,2017,40.53,Second genre, Drama
Ghost in the Shell,2017,40.53,Last genre,Sci-Fi
Paddington 2,2017,40.44,First genre,Adventure
Paddington 2,2017,40.44,Second genre, Comedy
Paddington 2,2017,40.44,Last genre,Family
Hanna,2011,40.26,First genre,Action
Hanna,2011,40.26,Second genre, Drama
Hanna,2011,40.26,Last genre,Thriller
Legion,2010,40.17,First genre,Action
Legion,2010,40.17,Second genre, Fantasy
Legion,2010,40.17,Last genre,Horror
Allied,2016,40.07,First genre,Action
Allied,2016,40.07,Second genre, Drama
Allied,2016,40.07,Last genre,Romance
A Haunted House,2013,40.04,First genre,Comedy
A Haunted House,2013,40.04,Second genre, Fantasy            
A Haunted House,2013,40.04,Last genre,
Burlesque,2010,39.44,First genre,Drama
Burlesque,2010,39.44,Second genre, Music
Burlesque,2010,39.44,Last genre,Musical
The Expendables 3,2014,39.32,First genre,Action
The Expendables 3,2014,39.32,Second genre, Adventure
The Expendables 3,2014,39.32,Last genre,Thriller
Second Act,2018,39.28,First genre,Comedy
Second Act,2018,39.28,Second genre, Drama
Second Act,2018,39.28,Last genre,Romance
King Arthur: Legend of the Sword,2017,39.18,First genre,Action
King Arthur: Legend of the Sword,2017,39.18,Second genre, Adventure
King Arthur: Legend of the Sword,2017,39.18,Last genre,Drama
The Crazies,2010,39.12,First genre,Horror
