user,date,text,latitude,longitude
AsheeqArt,Tue Aug 13 11:48:38 +0000 2019,🤩Guys new prints are coming soon on the website. I will also be making my first attempt at a digital print. A porti… https://t.co/dyuEMxMl6n,51.50711486,-0.12731805
StarTraxxEnt,Tue Aug 13 11:48:18 +0000 2019,Dubplate session at #fanatix studio wid da bros dem 🐊⚠️⚠️⚠️🐊 #1Word #1govament #WARNING⚠️⚠️⚠️ #YuhZimme #TouchDown… https://t.co/IRR9FwikCj,51.50711486,-0.12731805
tmj_lon_sales,Tue Aug 13 11:46:12 +0000 2019,See our latest #London  England #Sales job opportunity and click the link in our bio to apply: Sr Analyst  Finance at IQVIA,51.5073509,-0.1277583
SeventaImage,Tue Aug 13 11:44:36 +0000 2019,We were excited to host @DalyEmmett for his latest single cover art photoshoot at @SeventaImage using our team with… https://t.co/FvKgH7FDoD,51.50711486,-0.12731805
atienomuyuyi,Tue Aug 13 11:40:33 +0000 2019,https://t.co/kZvxg8NdSx… https://t.co/S7Z6SglH2Z,51.50711486,-0.12731805
tmj_LON_cstsrv,Tue Aug 13 11:40:11 +0000 2019,Can you recommend anyone for this #CustomerService job in #London  England? Click the link in our bio to see it and… https://t.co/K7vcDmTGFS,51.5073509,-0.1277583
maximilian2027,Tue Aug 13 11:37:13 +0000 2019,"SDENTALES / Sony Alpha 7III / UNITED KINGDOM / February 2019 / London

C799

https://t.co/ymyWfrjt4f

SDENTALES pho… https://t.co/nHqhsGAmK6",51.50711486,-0.12731805
tmj_lon_finance,Tue Aug 13 11:35:21 +0000 2019,Mastercard is hiring in #London  England! Read about our latest #Finance job opening via the link in our bio: Direc… https://t.co/bfrWUk6Ccs,51.5073509,-0.1277583
DanaAlow,Tue Aug 13 11:35:19 +0000 2019,I'm at Ladurée in London  Greater London https://t.co/P7Zn8Udv9W,51.51201359,-0.12325575
9jalicious,Tue Aug 13 11:34:07 +0000 2019,Tuesday ☄️Choose Joy Bestseller ☄️👉🏽 💫jewelofd9ja💕#DreamBelieveAchieve #goodvibes #positive  #good  #mood… https://t.co/cBFFjBDgEI,51.50711486,-0.12731805
PLUS256_9ja,Tue Aug 13 11:32:43 +0000 2019,"DJ Ararat  killed in motorbike crashed at age 33

Ivorian musician DJ Arafat has died of injuries he sustained in a… https://t.co/UrrCfFCf49",51.50711486,-0.12731805
farahsmehndi,Tue Aug 13 11:32:38 +0000 2019,"Last week's #bridalmehndi 

#bridalhenna #mehndidesign #mehndi #hennaartist #Henna #hennapattern #mehndiart… https://t.co/IfHhkP9Tpj",51.50711486,-0.12731805
UNWomenUK,Tue Aug 13 11:31:16 +0000 2019,"""It is time that we all see gender as a spectrum of ideas instead of two sets of opposing ideals.""

emmawatson  Glo… https://t.co/wwtxq7CewI",51.50711486,-0.12731805
kingakurekx,Tue Aug 13 11:30:10 +0000 2019,SHE’S BACK LADS 💚 @ London  United Kingdom https://t.co/xAEXbQPOyJ,51.50711486,-0.12731805
iamMoEazy,Tue Aug 13 11:29:55 +0000 2019,Smile + Vibe = #MoreLove ✊🏽🖤! #moeazy @ London  United Kingdom https://t.co/7uNgetrzAX,51.50711486,-0.12731805
madxuk,Tue Aug 13 11:29:10 +0000 2019,"#newrelease #Redeyeep out now 🌎🎶🎵📣

#stream #share #buy [ #redeye #ep ]📣🤩

@madxuk @Jamaicaneng eye_shell… https://t.co/og7B09DKeU",51.50711486,-0.12731805
9jalicious,Tue Aug 13 11:27:37 +0000 2019,ULTIMATE FIGHTING CHAMPIONSHIP UFC Tshirts £10☄️ 👉🏽 💫jewelofd9ja💕#DreamBelieveAchieve #goodvibes #positive  #good… https://t.co/Me7Jnl9baQ,51.50711486,-0.12731805
xvrblck,Tue Aug 13 11:27:28 +0000 2019,"Also produced this soundtrack for @walkwithw’s short film 🎥 
・・・
It’s that time!! Four part 3 is out now! The last… https://t.co/DVtgHKBYQ2",51.50711486,-0.12731805
sg1969,Tue Aug 13 11:27:21 +0000 2019,"London  June 2019.
.
.
.
#fujifeed #streets_in_motion #streetphotography #dreaminstreets #spicollective… https://t.co/IO2gzGrBkM",51.50711486,-0.12731805
djolamelody,Tue Aug 13 11:24:57 +0000 2019,"DJ alert 🚨🔥🚨🔥🚨

Dublin's DJ LEE TRENDZ will be with us this Saturday! 

Guest list is available via @djolamelody
Ca… https://t.co/AaTpFmQt4h",51.50711486,-0.12731805
9jalicious,Tue Aug 13 11:24:29 +0000 2019,Just posted a photo @ London  United Kingdom https://t.co/n8QfNkdbhQ,51.50711486,-0.12731805
9jalicious,Tue Aug 13 11:23:23 +0000 2019,Bestseller ☄️👉🏽 💫jewelofd9ja💕#DreamBelieveAchieve #goodvibes #positive  #good  #mood #inspiration #LLBOR  #let💚beou… https://t.co/xZRMB1tD4S,51.50711486,-0.12731805
vanessaneumann,Tue Aug 13 11:22:23 +0000 2019,Hoy sostuvimos excelente reunión con el Consejero de Seguridad Nacional John Bolton mientras visitaba Londres. Con… https://t.co/C0b6rYT9IY,51.50711486,-0.12731805
SustainHealth,Tue Aug 13 11:21:32 +0000 2019,NOVELTEA and The Florist have held the World’s highest afternoon tea party on Scafell Pike  https://t.co/Y2Am4S6lGx,51.5073509,-0.1277583
Diana_Wellbeing,Tue Aug 13 11:18:30 +0000 2019,"Happiness...

It is the art of living  the purpose of our existence. #Happiness is the true index of quality of lif… https://t.co/wTOFuDpAzm",51.50711486,-0.12731805
IRAQISH94,Tue Aug 13 11:18:26 +0000 2019,#AbdulsTimeslaps #Moon @ London  United Kingdom https://t.co/gVgsGijU4W,51.50711486,-0.12731805
MehiOnline,Tue Aug 13 11:15:56 +0000 2019,I think in still doing ok! Haven't been consistant in gym for the last 2 and half months. I think its just natural… https://t.co/DO0Tr3CLA4,51.50711486,-0.12731805
xvrblck,Tue Aug 13 11:15:38 +0000 2019,Produced the soundtrack for @walkwithw Shortfilm part 3. Link in there bio | #WalkWithW #london #shortfilm #UK… https://t.co/9FzNmytIip,51.50711486,-0.12731805
MuseLdn,Tue Aug 13 11:14:37 +0000 2019,Summer is still here with @heidikleinswim / @KarenMillen and rachael.tehmina as shot by gita0na and it shows you do… https://t.co/FObcTnxR8p,51.50711486,-0.12731805
Generallevy,Tue Aug 13 11:14:23 +0000 2019,Looking Fwd to the  whitcome Cider  festival on 25th August 2019 in Gloucester UK 🇬🇧 🎤🎼🎵❤️💛💚🔥🔥🔥🔥💥💥💥👊🏾💯💯💯💯 @ London … https://t.co/dhoIiEDwB6,51.50711486,-0.12731805
Nate__James,Tue Aug 13 11:13:19 +0000 2019,This Saturday I'll be making my debut on the decks @TheHospitalClub!! Entry is FREE on my guestlist so come down an… https://t.co/OCQFxYeRx1,51.5148046,-0.1246814
LarryBUXXX,Tue Aug 13 11:13:02 +0000 2019,"*SOUND ON 🗣* SUPER SAIYAN 2  NOW STREAMING. LET’S WORK. HIT THE LINK IN BIO 

#londonrap #ukrap #ukmusic #ukrapper… https://t.co/fSAaraHQcd",51.50711486,-0.12731805
drawadriandraw,Tue Aug 13 11:10:19 +0000 2019,Summer white... #illustrations #fashion #white #instagood @ London  United Kingdom https://t.co/gHIr7L3EuX,51.50711486,-0.12731805
TaniaSwiftLdn,Tue Aug 13 11:09:25 +0000 2019,Sometimes a simple linear drawing is all you need and this drawing in particular is of Indian women from Vogue Indi… https://t.co/aW638ZvAD9,51.50711486,-0.12731805
terrytopcat,Tue Aug 13 11:09:06 +0000 2019,Bought This Fantastic Book 📚 The Jackson’s Legacy At The Best Record Shop in London £6!!! Copies still available… https://t.co/AVssXLmQLA,51.51363332,-0.12835179
tmj_LON_purch,Tue Aug 13 11:08:07 +0000 2019,Interested in a job in #London  England? This could be a great fit. Click the link in our bio to apply: Sourcing Bu… https://t.co/gtRtG5EdFG,51.5073509,-0.1277583
O2JobsFeed,Tue Aug 13 11:04:47 +0000 2019,Want to work at O2? We're hiring in London  England  United Kingdom! Click for details: https://t.co/uOQ3T7Bn5S #o2jobs #Retail,51.5073509,-0.1277583
exposed4real,Tue Aug 13 11:04:41 +0000 2019,And touch down !! :) ... the island has me back #London @ London  United Kingdom https://t.co/2crX7x67ad,51.50711486,-0.12731805
KaraLorrlina,Tue Aug 13 11:03:30 +0000 2019,Good day #happy #babygirl #biracialbabies #cutebabies @ London  United Kingdom https://t.co/rkh5Xgd1Z3,51.50711486,-0.12731805
Ludacris,Tue Aug 13 11:03:26 +0000 2019,Early Morning VFX Scanning For Fast 9. High Resolution 3D Digital facial capturing that Makes a Clone of Tej For Vi… https://t.co/mSTiv2zOMB,51.50711486,-0.12731805
terrytopcat,Tue Aug 13 11:01:48 +0000 2019,TB Tues Desert 🏜 Island 🌴 Disco 🕺 Did Block Party 🎉 Caffe Nero Frith Street Soho we played some Fantastic TUNES 🥇🚨🚨… https://t.co/bNqYlFWa5x,51.5132621,-0.1314045
ShellyBerryUK,Tue Aug 13 11:00:51 +0000 2019,Another day  another #supervision 🤓 #counselling #counselling #therapy #counsellorslife #counsellorsofinstagram @ L… https://t.co/hMjA7pXrnD,51.50711486,-0.12731805
SicilianChef,Tue Aug 13 10:59:45 +0000 2019,My signature dish tastingsicilyuk @CelebrityChefs1 @SicilianChef @ficukdelegation ccs_contract_catering… https://t.co/LjeJ4r4IF6,51.5095084,-0.1321054
Roebucknw3,Tue Aug 13 10:59:33 +0000 2019,Rugby season is coming  and our doors will be wide open from 8am serving breakfast from our very special World Cup… https://t.co/RNKXASHDhs,51.50711486,-0.12731805
PickeringCelia,Tue Aug 13 10:59:04 +0000 2019,"Not long now until Thursdays #ladiesartclass #chiswick #w4 the_postroom_cafe. #soldout 

September’s class is nearl… https://t.co/6ywiJ9mbXO",51.50711486,-0.12731805
robtomroe,Tue Aug 13 10:58:30 +0000 2019,"Short but Sweet. Until next time London.
#planestrainsandautomobiles #zoomzoom #blackcab #london #uk #travel… https://t.co/EhdTUsJ0SX",51.50711486,-0.12731805
