2019-08-13 05:33:23,b'#TRUSTEDBISYAR \n#OpenBO \n\nPrice &amp; services View her profile \n\n\xf0\x9f\x91\x89Follow : @My__Lolly \n\xf0\x9f\x91\x89Follow : @Little__Airin \n\xf0\x9f\x91\x89Foll\xe2\x80\xa6 https://t.co/NKXTLIznbN'
2019-08-13 05:32:14,"b'Ambisi politik tentu wajar saja, selama pandai menginsyafi batasan etika. #politik #quotes #BRCTableTalk #makassar #BRORIVAICenter'"
2019-08-13 05:31:16,b'RT @JavadHassani2: #HELPREFUGEESININDONESIA \n#RESETTLEMENT4REFUGEES \n5th day of peaceful demonstration in front of UNHCR office in #Makassa\xe2\x80\xa6'
2019-08-13 05:28:32,b'\xf0\x9f\x93\xa3 @Promote_AngelID \xe2\x84\xa2    \n  \n      \xf0\x9f\x86\x99 GO BOOK \xf0\x9f\x86\x99\n\n\xf0\x9f\x92\xaf @liviazaskia \n\xf0\x9f\x8f\x9b #Makassar\n\xf0\x9f\x91\x99 TB 155 BB 46 Bra 32B\n\xe2\x98\x8e 082192787487\n\nE\xe2\x80\xa6 https://t.co/XJSzvgjOqW'
2019-08-13 05:27:03,b'#Makassar #IqbalSuhaeb #PramukaMakassar Iqbal Suhaeb Pimpin Ziarah ke Taman Makam Pahlawan Panaikang https://t.co/k9Q8QjhoTt'
2019-08-13 05:11:41,b'#go #along #juliana #quay #port of #makassar https://t.co/qZStnLJxGA'
2019-08-13 05:05:55,b'#makassarfromthesky\n#makassar @ Bandar Udara Internasional Sultan Hasanuddin https://t.co/oVG8wK2iu0'
2019-08-13 04:46:27,b'Indonesia T-shirt\n.\nIDR 100.000\nInfo Order:\nWA: 085233766660\n.\n.\n.\n#daevashop \n#kotajogja \n#indonesia \n#malioboro\xe2\x80\xa6 https://t.co/bTwqruplpC'
2019-08-13 04:37:42,b'RT @Little__Irene: Yuhuu.. Catat jadwal expo kk tantik satu nihh \xf0\x9f\x98\x8d\n\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbb @missxiaome69 \n#exposemarang 14-15\n#expomakassar 21-24\n\nOrangnya luc\xe2\x80\xa6'
2019-08-13 04:33:56,b'Yuhuu.. Catat jadwal expo kk tantik satu nihh \xf0\x9f\x98\x8d\n\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbb @missxiaome69 \n#exposemarang 14-15\n#expomakassar 21-24\n\nOrangny\xe2\x80\xa6 https://t.co/1WVrSKzaXT'
2019-08-13 04:17:35,b'RT @LittleBitBite_: \xf0\x9f\x8c\xbf\xf0\x9f\x8c\xbf\xf0\x9f\x8c\xbf\n\xf0\x9f\x99\x8b\xe2\x80\x8d\xf0\x9f\x99\x86\xe2\x80\x8d\xf0\x9f\x92\x81 \xe1\x95\xbcoT \xe1\x97\xa9\xe1\x91\x8eG\xc3\x8b\xe1\x92\xaa\xc5\x9a\n\n@ichiocha__ \n@fairydivine_\n\nBASE \xc2\xbb JAKARTA \nRATE RULES BY DM \nINFO CEK BIO\n\n#MAKASSAR  26-28 http\xe2\x80\xa6'
2019-08-13 03:46:21,b'https://t.co/fnEVQEcw1g\n#Pemerkosaan #Rudapaksa #Caleg #Pemilu2019 #Pemiludamai #Makassar #HyperLocal #LocaltoViral\xe2\x80\xa6 https://t.co/ZawIyYpalW'
2019-08-13 03:43:08,b'OPEn vcs real BO\nVcs full face \nDM Say Atau WA 082283945987\n#openBO #cewek #bisyar #panggilan #bispak  #open #bo\xe2\x80\xa6 https://t.co/r75cIcI4Tk'
2019-08-13 03:42:37,b'OPEN BO REAL MORNING SEX\n\xf0\x9f\x92\x9d\xf0\x9f\x92\x9d\nVcs FULL FACE AND FULL BODY\nRr DM ya\nWA 081396690212\n#openBO #cewek #bisyar #panggilan\xe2\x80\xa6 https://t.co/1nAjZXYXNs'
2019-08-13 03:21:35,"b'Tanjung Bira, si cantik dari Bulukumba: https://t.co/KMqyOVUmU3\n\n#Makassar #TanjungBira #Bulukumba #Travel #Liburan #Wisata'"
2019-08-13 03:07:18,b'sebenarnya lagi kangen pantaiii \xf0\x9f\x90\xb3\xf0\x9f\x8f\x9d\xef\xb8\x8f\n.\n.\n.\n. \n#ootd #outfitoftheday #ootdlebaran #fashion #fashiongram #makassar\xe2\x80\xa6 https://t.co/CatcKoo5cB'
